"Customweb_SaferpayCw::* Required Fields","* Erforderliche Felder"
"Customweb_SaferpayCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Sofern nur noch ein Produkt an Lager ist und die Bezahlung des Kunden (der genau dieses Produkt kauft) fehlschlägt, wird das Produkt solange reserviert bis die Bestellung annuliert wird (vgl. Timeout Option). Aktivieren Sie diese Option, falls Sie NICHT möchten, dass das Produkt reserviert wird. Die Bestellung wird dann bei fehlgeschlagener oder abgebrochener Zahlung sofort annuliert."
"Customweb_SaferpayCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Der Artikel wird während der Zeit, wenn ein Kunde im Checkout ist reserverit. Aktivieren Sie diese Option, damit der Bestand bei fehlgeschlagenen Zahlungen direkt wieder freigegeben wird. Ansonsten erfolgt die Freigabe erst, wenn der Cron Job die ausstehenden Bestellungen cancelled."
"Customweb_SaferpayCw::If it is not applicable leave the field empty.","Falls nicht zutreffend, lassen Sie dieses Feld leer."
"Customweb_SaferpayCw::If no liability shift is given by a transaction, should the transaction be marked as uncertain?","Falls eine Zahlung ohne Haftungsumkehr erfolgt, soll die Transaktion als unsicher markiert werden?"
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Transaktion erfolgreich storniert wurde."
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Verbuchung erfolgreich war."
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Wenn der Status 'Ausstehend' ist, dann ist es unklar, ob die Gutschrift erfolgreich war."
"Customweb_SaferpayCw::If the test mode is selected the test account id (99867-94913159) is used. Otherwise the configured account id is used.","Im Test Modus wird automatisch die Test Account ID (99867-94913159) gewählt. Ansonsten wird die konfigurierte Account ID übergeben."
"Customweb_SaferpayCw::If the test mode is selected the test account id is used. Otherwise the configured live account id is used.","Falls der Testmodus gewählt wird, wird die Account ID verwendet. Ansonsten wird die konfigurierte Live Account ID verwendet."
"Customweb_SaferpayCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","Dieser Account wird benutzt, wenn der Testmodus ausgewählt ist. Andernfalls wird der konfigurierte Account benutzt."
"Customweb_SaferpayCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Zögern Sie nicht, uns zu kontaktieren falls Sie ein Problem mit dem Modul haben. Auf unserer <a href='https://www.sellxed.com/de/support' target='_blank'>Support Seite</a> finden Sie weitere Informationen."
"Customweb_SaferpayCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Falls Sie Recurring Payments anbieten möchten, brauchen Sie das Magnet Modul ""Customweb Subscription"". Weitere Informationen finden Sie unter <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_SaferpayCw::Image Brand Selection","Auswahl des Kartenlogos"
"Customweb_SaferpayCw::In case hidden authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands.","Falls Hidden Authorization benutzt wird, wird der Kreditkartenanbieter anhand der Kartennummer ermittelt und die Nummer wird entsprechend validiert. Diese Einstellung erlaubt es Ihnen auch, die akzeptierten Anbieter einzuschränken."
"Customweb_SaferpayCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Es kann in einigen Fällen ein paar Sekunden dauern bis die Transaktion erfolgreich genehmigt wird. Wenn diese Option aktiviert ist, wird die Benachrichtigung erwartet."
"Customweb_SaferpayCw::In some cases the customer switch the payment method or select a more specific one. This label shows the effective one.","In einigen Fällen ändert der Kunde die Zahlungsmethode oder wählt eine spezifischere Methode aus. Dieses Label zeigt die effektiv gewählte Methode."
"Customweb_SaferpayCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Es dauert teilweise etwas bis wir vom PSP die Nachricht der Zahlung erhalten. Das aktivieren dieser Option führt dazu, dass der Kunde im Checkout verzögert wird, bis die Notifikation vom PSP eintrifft."
"Customweb_SaferpayCw::Inactive","Inaktiv"
"Customweb_SaferpayCw::Incl. Tax","Inkl. Tax"
"Customweb_SaferpayCw::Inform customer by Saferpay","Kunden via Saferpay informieren."
"Customweb_SaferpayCw::Inform the customer","Den Kunden informieren"
"Customweb_SaferpayCw::Information","Information"
"Customweb_SaferpayCw::Internal error at ____paymentServiceProvider____.","Interner Fehler bei  ____paymentServiceProvider____."
"Customweb_SaferpayCw::Invalid Currency.","Ungültige Währung."
"Customweb_SaferpayCw::Invalid Token.","Ungültiger Token."
"Customweb_SaferpayCw::Invalid amount.","Ungültiger Betrag."
"Customweb_SaferpayCw::Invalid credit card data: Please check your credit card data.","Ungültige Kreditkarteninformation: Bitte überprüfen Sie Ihre Kreditkarteninformationen"
"Customweb_SaferpayCw::Invalid credit card data: The expiration date has to be in the future.","Ungültige Kreditkarteninformation: Das Ablaufdatum muss in der Zukunft liegen."
"Customweb_SaferpayCw::Invalid credit card data: The given card number is not valid.","Die eingegebene Kreditkartennummer ist ungültig."
"Customweb_SaferpayCw::Invalid login or password.","Ungültiges Login oder Passwort."
"Customweb_SaferpayCw::Invalid payment means.","Ungültige Zahlungsmethode."
"Customweb_SaferpayCw::Invoice Items","Rechungsartikel"
"Customweb_SaferpayCw::Invoice Settlement","Verbuchung der Rechnung"
"Customweb_SaferpayCw::Invoice Totals","Rechnungstotal"
"Customweb_SaferpayCw::Invoice settlement","Rechungserstellung"
"Customweb_SaferpayCw::Invoice was created successfully","Die Rechnung wurde erfolgreich erstellt"
"Customweb_SaferpayCw::Invoices","Rechungen"
"Customweb_SaferpayCw::Issue Number","Ausgabekartennummer"
"Customweb_SaferpayCw::It is not possible to checkout in your country.","Es ist in Ihrem Land nicht möglich zu bezahlen."
"Customweb_SaferpayCw::Item","Artikel"
"Customweb_SaferpayCw::Items","Artikel"
"Customweb_SaferpayCw::Items Refunded","Artikel zurückerstattet"
"Customweb_SaferpayCw::JCB","JCB"
"Customweb_SaferpayCw::LLC","GmbH"
"Customweb_SaferpayCw::Laser Card","Laser"
"Customweb_SaferpayCw::Learn More","Mehr erfahren"
"Customweb_SaferpayCw::Legal form","Rechtsform"
"Customweb_SaferpayCw::Legalform","Rechtsform"
"Customweb_SaferpayCw::Liability Shift Behavior","Verhalten der Haftungsumkehr"
"Customweb_SaferpayCw::Live API password","Live API Passwort"
"Customweb_SaferpayCw::Live Customer ID","Live Customer ID"
"Customweb_SaferpayCw::Live HMAC Key","Live HMAC Key"
"Customweb_SaferpayCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_SaferpayCw::Live JSON API password","Live JSON API Passwort"
"Customweb_SaferpayCw::Live JSON Username","Live JSON Benutzername"
"Customweb_SaferpayCw::Live MoTo Terminal ID","Live MoTo Terminal ID"
"Customweb_SaferpayCw::Live Mode","Live Modus"
"Customweb_SaferpayCw::Live Password","Live Passwort"
"Customweb_SaferpayCw::Live Rang (PBX_RANG)","Live Rang"
"Customweb_SaferpayCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_SaferpayCw::Live Terminal ID","Live Terminal ID"
"Customweb_SaferpayCw::Live account ID","Live Account ID"
"Customweb_SaferpayCw::Logging","Logging"
"Customweb_SaferpayCw::Login","Login"
"Customweb_SaferpayCw::Login & Register","Login & Registrieren"
"Customweb_SaferpayCw::Login and password are required.","Login und Passwort sind erforderlich."
"Customweb_SaferpayCw::Ltd.","GmbH"
"Customweb_SaferpayCw::Maestro","Maestro"
"Customweb_SaferpayCw::Mail Order / Telephone Order (MoTo)","Mail Order / Telephone Order (MoTo)"
"Customweb_SaferpayCw::Mail order/telephone order authorization","Autorisierung von eMail-/Telefonbestellungen"
"Customweb_SaferpayCw::Male","Männlich"
"Customweb_SaferpayCw::Manage Stores","Shops verwalten"
"Customweb_SaferpayCw::Manage Saferpay Aliases","Saferpay Aliasse verwalten"
"Customweb_SaferpayCw::Mandate text","Mandatstext"
"Customweb_SaferpayCw::Mandatory","Obligatorisch"
"Customweb_SaferpayCw::Mark transactions without liability shift as uncertain","Transaktionen ohne Haftungsumkehr als unsicher markieren"
"Customweb_SaferpayCw::MasterCard","MasterCard"
"Customweb_SaferpayCw::MasterPass","MasterPass"
"Customweb_SaferpayCw::MasterPass: Order Confirmation","MasterPass: Bestellungsbestätigung"
"Customweb_SaferpayCw::Mastercard","MasterCard"
"Customweb_SaferpayCw::Maximum Order Total","Maximales Bestelltotal"
"Customweb_SaferpayCw::Merchant IBAN (Mandate)","Händler IBAN (Mandat)"
"Customweb_SaferpayCw::Merchant Name (Mandate)","Händlername (Mandat)"
"Customweb_SaferpayCw::Merchant email","E-Mail des Händlers"
"Customweb_SaferpayCw::Message","Nachricht"
"Customweb_SaferpayCw::Method Title","Titel der Zahlungsmethode"
"Customweb_SaferpayCw::Minimum Order Total","Minimales Bestelltotal"
"Customweb_SaferpayCw::Minimum order price !price","Minimum Bestellungspreis !price"
"Customweb_SaferpayCw::Missing permissions for this action.","Fehlende Rechte für diese Aktion."
"Customweb_SaferpayCw::Month","Monat"
"Customweb_SaferpayCw::My Saferpay Aliases","Meine Saferpay Aliasse"
"Customweb_SaferpayCw::New Order","Neue Bestellung"
"Customweb_SaferpayCw::New Order Status","Neuer Bestellstatus"
"Customweb_SaferpayCw::New card","Neue Karte"
"Customweb_SaferpayCw::Next Update Execution Date","Nächstes Ausführungsdatum für Updates"
"Customweb_SaferpayCw::No","Nein"
"Customweb_SaferpayCw::No CVC provided.","Es wurde kein CVC bereitgestellt."
"Customweb_SaferpayCw::No IBAN provided.","Es wurde keine IBAN angegeben."
"Customweb_SaferpayCw::No Items","Keine Artikel"
"Customweb_SaferpayCw::No additional payment information available.","Keine zusätzliche Zahlungsinformationen verfügbar"
"Customweb_SaferpayCw::No address is sent","Es wurde keine Adresse übermittelt"
"Customweb_SaferpayCw::No authorization method found for payment method !method.","Es konnte keine Autorisierungsmethode für die Zahlmethode '!method' gefunden werden."
"Customweb_SaferpayCw::No billing address was returned.","Es wurde keine Rechnungsadresse wiedergegeben."
"Customweb_SaferpayCw::No button returned.","Kein Knopf erhalten."
"Customweb_SaferpayCw::No date of birth provided.","Es wurde kein Geburtsdatum angegeben."
"Customweb_SaferpayCw::No delivery address was returned.","Es wurde keine Lieferadresse wiedergegeben."
"Customweb_SaferpayCw::No gender provided.","Das Geschlecht wurde nicht angegeben."
"Customweb_SaferpayCw::No legal form provided.","Keine Rechtsform angegeben."
"Customweb_SaferpayCw::No method wrapper found for payment method '!method'.","Für die Zahlungsmethode '!method' wurde kein Wrapper gefunden."
"Customweb_SaferpayCw::No redirect url or token received.","Es wurde weder eine Redirect URL noch ein Token erhalten."
"Customweb_SaferpayCw::No refund possible.","Keine Rückvergütung möglich"
"Customweb_SaferpayCw::No shipping method needed.","Keine Versandmethode benötigt."
"Customweb_SaferpayCw::No theme","Kein Theme"
"Customweb_SaferpayCw::No, use the dropdown.","Dropdown-Menü benutzen"
"Customweb_SaferpayCw::None","Keine"
"Customweb_SaferpayCw::Normal mode","Normaler Modus"
"Customweb_SaferpayCw::Not an alias transaction","Keine Alias Transaktion"
"Customweb_SaferpayCw::Not supported","Nicht unterstützt"
"Customweb_SaferpayCw::Only an authorized transaction can be marked as finally declined.","Nur autorisierte Transaktionen können als endgültig abgelehnt markiert werden."
"Customweb_SaferpayCw::Only an uncertain transaction can be marked as finally declined.","Nur unsichere Transaktionen können als endgültig abgelehnt markiert werden."
"Customweb_SaferpayCw::Only authorized transaction can be cancelled.","Nur autorisierte Transaktionen können storniert werden."
"Customweb_SaferpayCw::Only authorized transaction can be captured.","Nur autorisierte Transaktionen können verbucht werden."
"Customweb_SaferpayCw::Only authorized transaction can be refunded.","Nur autorsierte Transaktionen können gutgeschrieben werden."
"Customweb_SaferpayCw::Only captured transaction can be refunded.","Nur gebuchte Transaktionen können gutgeschrieben werden."
"Customweb_SaferpayCw::Only delivery address is sent","Es wird nur die Lieferadresse versendet"
"Customweb_SaferpayCw::Only on captured transaction the flag customer refusing to pay can be set.","Nur bei bereits verbuchten Transaktionen kann ein Flag zur Markierung von Kunden, die nicht bezahlt haben, gesetzt werden."
"Customweb_SaferpayCw::Operation Mode","Betriebsmodus"
"Customweb_SaferpayCw::Order #","Bestellnummer"
"Customweb_SaferpayCw::Order Grand Total","Gesamtsumme der Bestellung"
"Customweb_SaferpayCw::Order Information","Bestellungsinformation"
"Customweb_SaferpayCw::Order Prefix","Bestell-Präfix"
"Customweb_SaferpayCw::Order Review","Bestellungsüberprüfung"
"Customweb_SaferpayCw::Order Summary","Bestellzusammenfassung"
"Customweb_SaferpayCw::Order Total","Bestelltotal"
"Customweb_SaferpayCw::Order cancelled, because the customer was too long in the payment process of Saferpay.","Bestellung wurde abgebrochen, da der Kunde sich zu lange im Zahlungsprozess von Saferpay befand."
"Customweb_SaferpayCw::Order prefix","Bestellungs-Präfix"
"Customweb_SaferpayCw::Order was placed using %s","Order was placed using %s"
"Customweb_SaferpayCw::Orders","Bestellungen"
"Customweb_SaferpayCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellungen, deren Zahlungen länger ausstehend bleiben als das definierte Timeout in Minuten, werden automatisch abgebrochen. Um dieses Feature benutzen zu können, müssen Sie Magento Cron aufsetzen."
"Customweb_SaferpayCw::Other","Andere"
"Customweb_SaferpayCw::Paid Amount","Bezahlter Betrag"
"Customweb_SaferpayCw::Partial refund not possible. You may retry with the total transaction amount.","Teilrückzahlung nicht möglich. Die Summe ist grösser als der verbuchte Gesamtbetrag."
"Customweb_SaferpayCw::Password","Passwort"
"Customweb_SaferpayCw::Password and password confirmation are not equal.","""Passwort"" und ""Passwort bestätigen"" stimmen nicht überein."
"Customweb_SaferpayCw::Pay with ____paymentMethodName____","Zahlen mit ____paymentMethodName____"
"Customweb_SaferpayCw::Payment","Zahlung"
"Customweb_SaferpayCw::Payment Details","Zahlungsdetails"
"Customweb_SaferpayCw::Payment ID","Zahlungs-ID"
"Customweb_SaferpayCw::Payment Id","Payment ID"
"Customweb_SaferpayCw::Payment Information","Zahlungsinformationen"
"Customweb_SaferpayCw::Payment Method","Zahlungsmethode"
"Customweb_SaferpayCw::Payment Method Name","Name der Zahlungsmethode"
"Customweb_SaferpayCw::Payment Note","Zahlungszweck"
"Customweb_SaferpayCw::Payment Page CSS URL","Payment Page CSS URL"
"Customweb_SaferpayCw::Payment Page Configuration Name","Zahlungsseite Konfigurationsname"
"Customweb_SaferpayCw::Payment Page Theme","Payment Page Theme"
"Customweb_SaferpayCw::Payment Reason","Zahlungsgrund"
"Customweb_SaferpayCw::Payment captured successfully.","Die Zahlung wurde erfolgreich vebucht."
"Customweb_SaferpayCw::Payment could not be authorized. Cancelling order. Reason : ","Die Zahlung konnte nicht autorisiert werden. Bestellung wird abgebrochen. Grund:"
"Customweb_SaferpayCw::Payment details can be entered after placing the order","Die Zahlungsinformationen können eingegeben werden, nachdem die Bestellung bestätigt wurde."
"Customweb_SaferpayCw::Payment from Applicable Countries","Zahlung von zutreffenden Ländern"
"Customweb_SaferpayCw::Payment from Specific Countries","Zahlung von spezifischen Ländern"
"Customweb_SaferpayCw::Payment from applicable countries","Zahlung von zutreffenden Ländern"
"Customweb_SaferpayCw::Payment from specific countries","Zahlung von spezifischen Ländern"
"Customweb_SaferpayCw::Payment is pending at SaferpayCw","Zahlung ist bei SaferpayCw ausstehend"
"Customweb_SaferpayCw::Payment method description","Beschreibung der Zahlungsmethode"
"Customweb_SaferpayCw::Payment method not available.","Zahlungsmethode nicht verfügbar."
"Customweb_SaferpayCw::Payment note","Zahlungsbenachrichtigung"
"Customweb_SaferpayCw::Payment period extension","Verlängerung Zahlungsperiode"
"Customweb_SaferpayCw::Payment with %s","Zahlung mit %s"
"Customweb_SaferpayCw::Payment with Saferpay","Zahlung mit Saferpay"
"Customweb_SaferpayCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Mit der Aktivierung dieser Option wird periodisch der Status der Zahlung via API Interface abgefragt. Um das Feature zu nutzen, muss der Magento Cron aktiviert sein."
"Customweb_SaferpayCw::Pending","Ausstehend"
"Customweb_SaferpayCw::Pending SaferpayCw","Ausstehend  SaferpayCw"
"Customweb_SaferpayCw::Place Order","Rechtsverbindlich bestellen"
"Customweb_SaferpayCw::Please agree to all the terms and conditions before placing the order.","Bitte stimmen Sie vor dem Platzieren der Bestellung den allgemeinen Geschäftsbedingungen zu."
"Customweb_SaferpayCw::Please check the entered CVC number.","Bitte überprüfen Sie den eingegebenen CVC."
"Customweb_SaferpayCw::Please check the entered credit card number.","Bitte geben Sie eine Kreditkartennummer ein."
"Customweb_SaferpayCw::Please check your card details.","Überprüfen Sie bitte Ihre Kartendaten."
"Customweb_SaferpayCw::Please check your payment details.","Überprüfen Sie bitte Ihre Zahlungsdetails."
"Customweb_SaferpayCw::Please choose the legal form of your company.","Bitte wählen Sie die Rechtsform Ihres Unternehmens."
"Customweb_SaferpayCw::Please choose your gender","Bitte geben Sie Ihr Geschlecht an"
"Customweb_SaferpayCw::Please enter here the Bank Identifier Code (BIC).","Bitte tragen Sie hier einen BIC ein (Bank identifier Code)."
"Customweb_SaferpayCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Bitte geben Sie hier den CVC Ihrer Karte ein. Sie finden diesen auf der Rückseite Ihrer Kreditkarte."
"Customweb_SaferpayCw::Please enter here the International Bank Account Number (IBAN).","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Customweb_SaferpayCw::Please enter here the account holder name on the card.","Bitte geben Sie den Kontoinhaber an."
"Customweb_SaferpayCw::Please enter here the account holder name.","Bitte tragen Sie hier den Kontoinhaber ein."
"Customweb_SaferpayCw::Please enter here the account number of your bank account.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Customweb_SaferpayCw::Please enter here the bank code of your bank.","Bitte geben Sie den Bankcode Ihrer Bank ein."
"Customweb_SaferpayCw::Please enter here the card holder name on the card.","Bitte geben Sie den Karteninhaber auf Ihrer Kreditkarte ein."
"Customweb_SaferpayCw::Please enter here the commercial number of your company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"Customweb_SaferpayCw::Please enter here the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"Customweb_SaferpayCw::Please enter here the number on your card.","Bitte geben Sie hier die Kartennummer Ihrer Kreditkarte ein."
"Customweb_SaferpayCw::Please enter here the sales tax number of your company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"Customweb_SaferpayCw::Please enter here your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"Customweb_SaferpayCw::Please enter the creditor identifier that you are able to receive from the Bundesbank (see http://www.bundesbank.de/Navigation/EN/Tasks/Payment_systems/SEPA/Creditor_Identifier/creditor_identifier.html)","Bitte geben Sie den Kreditor Identifier ein, sie erhalten ihn über die Bundesbank (siehe http://www.bundesbank.de/Navigation/EN/Tasks/Payment_systems/SEPA/Creditor_Identifier/creditor_identifier.html)."
"Customweb_SaferpayCw::Please enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"Customweb_SaferpayCw::Please enter the name of your bank.","Bitte geben Sie hier den Namen Ihrer Bank ein."
"Customweb_SaferpayCw::Please enter the name of your company if you order for your company.","Bitte geben Sie Ihren Firmennamen ein, falls die Bestellung über Ihre Firma läuft."
"Customweb_SaferpayCw::Please enter your IBAN number.","Bitte geben Sie Ihre IBAN ein."
"Customweb_SaferpayCw::Please enter your issue number, if there is no CVC code on your card.","Bitte geben Sie die Ausgabenummer von Ihrer Karte ein, falls Sie keinen CVC auf Ihrer Karte haben."
"Customweb_SaferpayCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte deaktivieren Sie Cache und versuchen Sie es erneut. Sollte dies nicht helfen, ändern Sie die Autorisationsmethode zu PaymentPage und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>."
"Customweb_SaferpayCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Bitte leeren oder deaktivieren Sie den Cache-Speicher und versuchen Sie es erneut. Falls dies nicht hilft, ändern Sie die Autorisationsmethode zu Payment Page und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>.', 'http://www.sellxed.com/en/support"
"Customweb_SaferpayCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte entleeren oder deaktivieren Sie Ihren Cache und versuchen Sie es erneut. Falls es immer noch nicht klappt, ändern Sie die Autorisierungsmethode zu PaymentPage und kontaktieren Sie <a href=""%s"" target=""_blank"">sellxed</a>."
"Customweb_SaferpayCw::Please log in below:","Bitte loggen Sie sich ein:"
"Customweb_SaferpayCw::Please note that your invoice is paid when the amount has successfully arrived the account named above.","Bitte beachten Sie, dass Ihre Rechnung nur dann beglichen ist, wenn Ihre Zahlung auf das oben genannte Konto erfolgt."
"Customweb_SaferpayCw::Please read and confirm our terms and conditions!","Bitte lesen und bestätigen Sie unsere allgemeinen Geschäftsbedingungen!"
"Customweb_SaferpayCw::Please select","-- Bitte wählen --"
"Customweb_SaferpayCw::Please select a shipping method before sending the order.","Bitte wählen Sie vor dem Übermitteln der Bestellung eine Versandmethode aus."
"Customweb_SaferpayCw::Please select the Bank Identifier Code (BIC) of your bank.","Wählen Sie einen BIC (Bank Identifier Code) Ihrer Bank."
"Customweb_SaferpayCw::Please select the day of your birth.","Bitte wählen Sie den Tag Ihrer Geburt aus."
"Customweb_SaferpayCw::Please select the day on which you were born.","Geben Sie den Tag Ihres Geburtstages ein"
"Customweb_SaferpayCw::Please select the expiry month on your card.","Bitte wählen Sie den Monat des Ablaufdatums auf Ihrer Kreditkarte aus."
"Customweb_SaferpayCw::Please select the expiry year on your card.","Bitte geben Sie das Ablaufdatum der Karte ein."
"Customweb_SaferpayCw::Please select the month in which you were born.","Geben Sie den Monat Ihres Geburtstages ein"
"Customweb_SaferpayCw::Please select the month of your birth.","Bitte wählen Sie den Monat Ihrer Geburt aus."
"Customweb_SaferpayCw::Please select the the year of your birth.","Bitte wählen Sie das Jahr Ihrer Geburt aus."
"Customweb_SaferpayCw::Please select the year in which you were born.","Geben Sie das Jahr Ihres Geburtstages ein"
"Customweb_SaferpayCw::Please wait, processing your order...","Bitte warten, während die Bestellung verarbeitet wird..."
"Customweb_SaferpayCw::Possible fraud detected. Parameters send from SaferpayCw were not correct.","Möglicher Betrug entdeckt. Parameter welche von SaferpayCw gesendet wurden waren nicht korrekt."
"Customweb_SaferpayCw::Price","Preis"
"Customweb_SaferpayCw::Product","Produkt"
"Customweb_SaferpayCw::Product Name","Produktname"
"Customweb_SaferpayCw::Purchase Point","Einkaufsort"
"Customweb_SaferpayCw::Qty","Anzahl"
"Customweb_SaferpayCw::Received malformed response","Erhaltene Antwort konnte nicht verarbeitet werden"
"Customweb_SaferpayCw::Received unknown refund state: !state","Received unknown refund state: !state"
"Customweb_SaferpayCw::Received unknown transaction state: !state","Received unknown transaction state: !state"
"Customweb_SaferpayCw::Received unkown refund state: !state","Unbekannter Refund Status erhalten: !state"
"Customweb_SaferpayCw::Received unkown transaction state: !state","Unbekannter Transaktionsstatus erhalten: !state"
"Customweb_SaferpayCw::Received wrong transaction type: !type","Falscher Transaktionstyp erhalten: !type"
"Customweb_SaferpayCw::Received wrong type: !type","Falscher Typ erhalten: !type"
"Customweb_SaferpayCw::Recurring Payments","Abo Zahlungen"
"Customweb_SaferpayCw::Reference: @reference","Verwendungszweck: @reference"
"Customweb_SaferpayCw::Refund Amount","Rückerstattungsbetrag"
"Customweb_SaferpayCw::Refund ID","Rückvergütungs ID"
"Customweb_SaferpayCw::Refund amount","Rückerstattungsbetrag"
"Customweb_SaferpayCw::Refund information","Informationen zur Gutschrift"
"Customweb_SaferpayCw::Refund of !amount failed because no card reference id was provided. This most likely because you try to refund a transaction authorized over the payment page. (Code: !result).","Die Rückerstattung von !amount ist fehlgeschlagen, da keine Kartenreferenznummer angegeben wurde. Dies ist vemutlich darauf zurückzuführen dass Sie versuchen, eine Zahlung zurückzuerstatten, die über die Payment Page autorisiert wurde. (Code: !result)."
"Customweb_SaferpayCw::Refund of !amount failed with code: !result.","Rückvergütung von !amount fehlgeschlagen mit code: !result."
"Customweb_SaferpayCw::Refund status","Gutschriftsstatus"
"Customweb_SaferpayCw::Refunded Amount","Rückerstattungsbetrag"
"Customweb_SaferpayCw::Refunding Transaction '!transactionId'","Erstattungstransaktion '!transactionId'"
"Customweb_SaferpayCw::Refunds","Gutschrift"
"Customweb_SaferpayCw::Register","Registireren"
"Customweb_SaferpayCw::Register to Create an Account","Registrieren, um ein Benutzerkonto zu erstellen"
"Customweb_SaferpayCw::Register with us for future convenience:","Registrieren Sie sich bei uns für zukünftigen Komfort:"
"Customweb_SaferpayCw::Release Date","Erscheinungsdatum"
"Customweb_SaferpayCw::Request Validation failed.","Validierungsantrag fehlgeschlagen."
"Customweb_SaferpayCw::Review","Übersicht"
"Customweb_SaferpayCw::Rounding Adjustment","Rundungskorrekturen"
"Customweb_SaferpayCw::Row Total","Zeilensumme"
"Customweb_SaferpayCw::SEPA Mandate ID","SEPA Mandats ID"
"Customweb_SaferpayCw::SKU","SKU"
"Customweb_SaferpayCw::Saferpay Test Card","Saferpay Test Card"
"Customweb_SaferpayCw::Sales","Verkäufe"
"Customweb_SaferpayCw::Sales Tax Number","Steuer Nummer"
"Customweb_SaferpayCw::Save","Speichern"
"Customweb_SaferpayCw::Saved cards:","Gespeicherte Karten:"
"Customweb_SaferpayCw::See order and shipping status","Bestell- und Versandstatus ansehen"
"Customweb_SaferpayCw::Select Brand","Wählen Sie den Kartentyp aus."
"Customweb_SaferpayCw::Select Method","Methode auswählen"
"Customweb_SaferpayCw::Select the authorization method to use for processing this payment method.","Wählen Sie bitte die Autorisierungsmethode für diese Zahlweise. (Bitte beachten Sie, dass die Hidden Autorisierung für Kreditkarten (sofern vorhanden) zusätzliche Zertifizerungsanforderungen mit sich bringt SAQ-A-EP. Für weitere Informationen kontkatieren Sie bitte Saferpay)."
"Customweb_SaferpayCw::Select the date of your birth.","Wählen Sie Ihr Geburtsdatum."
"Customweb_SaferpayCw::Select the date on which your card expires.","Wählen Sie das Kartenablaufdatum."
"Customweb_SaferpayCw::Select your companys legal form.","Wählen Sie die Rechtsform Ihres Unternehmens."
"Customweb_SaferpayCw::Select your date of birth.","Wählen Sie Ihr Geburtsdatum."
"Customweb_SaferpayCw::Select your gender.","Wählen Sie ihr Geschlecht"
"Customweb_SaferpayCw::Sellxed On Hold","Sellxed In Wartestellung"
"Customweb_SaferpayCw::Send Invoice Email","Rechnungs-E-Mail senden"
"Customweb_SaferpayCw::Send amounts to Saferpay in base currency.","Den Betrag an Saferpay  in der Standard Währung setteln"
"Customweb_SaferpayCw::Send amounts to Saferpay in store's base currency.","Beträge in der Basiswährung des Shops an Saferpay senden."
