"Customweb_SaferpayCw::* Required Fields","* Required Fields"
"Customweb_SaferpayCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"Customweb_SaferpayCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_SaferpayCw::Image Brand Selection","Image Brand Selection"
"Customweb_SaferpayCw::In case hidden authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands.","En caso de que se utiliza la autorización oculta, la marca de la tarjeta de crédito es detectado por el número de tarjeta y el número de tarjeta es validada en consecuencia. Esta configuración permite la restricción de las marcas permitidas."
"Customweb_SaferpayCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"Customweb_SaferpayCw::In some cases the customer switch the payment method or select a more specific one. This label shows the effective one.","En algunos casos el cliente cambiar el método de pago o elegir uno más específico. Esta etiqueta muestra la vigente."
"Customweb_SaferpayCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"Customweb_SaferpayCw::Inactive","Inactivo"
"Customweb_SaferpayCw::Incl. Tax","Incl. impuesto"
"Customweb_SaferpayCw::Inform customer by Saferpay","Informar al clientes a través de Saferpay"
"Customweb_SaferpayCw::Inform the customer","Informe al cliente"
"Customweb_SaferpayCw::Information","Information"
"Customweb_SaferpayCw::Internal error at ____paymentServiceProvider____.","Error interno en ____paymentServiceProvider____."
"Customweb_SaferpayCw::Invalid Currency.","Moneda no válida."
"Customweb_SaferpayCw::Invalid Token.","Ficha no válida."
"Customweb_SaferpayCw::Invalid amount.","Importe no válido."
"Customweb_SaferpayCw::Invalid credit card data: Please check your credit card data.","Datos de la tarjeta de crédito no válido: Se recomienda consultar los datos de la tarjeta de crédito."
"Customweb_SaferpayCw::Invalid credit card data: The expiration date has to be in the future.","Inválido datos de la tarjeta de crédito: La fecha de vencimiento debe ser en el futuro."
"Customweb_SaferpayCw::Invalid credit card data: The given card number is not valid.","Inválido datos de la tarjeta de crédito: El número de la tarjeta dada no es válida."
"Customweb_SaferpayCw::Invalid login or password.","Invalid login or password."
"Customweb_SaferpayCw::Invalid payment means.","Medios de pago no válidos."
"Customweb_SaferpayCw::Invoice Items","Artículos factura"
"Customweb_SaferpayCw::Invoice Settlement","Invoice Settlement"
"Customweb_SaferpayCw::Invoice Totals","Totales de las facturas"
"Customweb_SaferpayCw::Invoice settlement","Creación de la factura."
"Customweb_SaferpayCw::Invoice was created successfully","La cuenta ha sido creada con éxito"
"Customweb_SaferpayCw::Invoices","Facturas"
"Customweb_SaferpayCw::Issue Number","Número de emisión"
"Customweb_SaferpayCw::It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Customweb_SaferpayCw::Item","Item"
"Customweb_SaferpayCw::Items","Items"
"Customweb_SaferpayCw::Items Refunded","Items Refunded"
"Customweb_SaferpayCw::JCB","JCB"
"Customweb_SaferpayCw::LLC","Srl"
"Customweb_SaferpayCw::Laser Card","Laser Card"
"Customweb_SaferpayCw::Learn More","Conozca más"
"Customweb_SaferpayCw::Legal form","Forma jurídica"
"Customweb_SaferpayCw::Legalform","Forma jurídica"
"Customweb_SaferpayCw::Liability Shift Behavior","Comportamiento de cambio de responsabilidad"
"Customweb_SaferpayCw::Live API password","Live API password"
"Customweb_SaferpayCw::Live Customer ID","Identificación de cliente en vivo"
"Customweb_SaferpayCw::Live HMAC Key","Live HMAC Key"
"Customweb_SaferpayCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_SaferpayCw::Live JSON API password","Contraseña de la API de JSON en directo"
"Customweb_SaferpayCw::Live JSON Username","Nombre de usuario de Live JSON"
"Customweb_SaferpayCw::Live MoTo Terminal ID","Live MoTo Terminal ID"
"Customweb_SaferpayCw::Live Mode","Modo live"
"Customweb_SaferpayCw::Live Password","Live Password"
"Customweb_SaferpayCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_SaferpayCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_SaferpayCw::Live Terminal ID","ID de terminal en vivo"
"Customweb_SaferpayCw::Live account ID","Live account ID"
"Customweb_SaferpayCw::Logging","Logging"
"Customweb_SaferpayCw::Login","Login"
"Customweb_SaferpayCw::Login & Register","Login & Register"
"Customweb_SaferpayCw::Login and password are required.","Login and password are required."
"Customweb_SaferpayCw::Ltd.","Ltda."
"Customweb_SaferpayCw::Maestro","Maestro"
"Customweb_SaferpayCw::Mail Order / Telephone Order (MoTo)","Mail Order / Telephone Order (MoTo)"
"Customweb_SaferpayCw::Mail order/telephone order authorization","Autorización para pedido para e-Mail/pedido telefónico"
"Customweb_SaferpayCw::Male","Masculino"
"Customweb_SaferpayCw::Manage Stores","Administrar las tiendas"
"Customweb_SaferpayCw::Manage Saferpay Aliases","Manage Saferpay Aliases"
"Customweb_SaferpayCw::Mandate text","Texto del mandato"
"Customweb_SaferpayCw::Mandatory","Obligatorio"
"Customweb_SaferpayCw::Mark transactions without liability shift as uncertain","Marcar transacciones sin cambio de responsabilidad inseguro"
"Customweb_SaferpayCw::MasterCard","MasterCard"
"Customweb_SaferpayCw::MasterPass","MasterPass"
"Customweb_SaferpayCw::MasterPass: Order Confirmation","MasterPass: Confirmación del pedido"
"Customweb_SaferpayCw::Mastercard","Mastercard"
"Customweb_SaferpayCw::Maximum Order Total","Cantidad máxima del pedido"
"Customweb_SaferpayCw::Merchant IBAN (Mandate)","Merchant IBAN (Mandate)"
"Customweb_SaferpayCw::Merchant Name (Mandate)","Nombre del Comerciante (Mandato)"
"Customweb_SaferpayCw::Merchant email","Correo electrónico del comerciante"
"Customweb_SaferpayCw::Message","Notificación"
"Customweb_SaferpayCw::Method Title","Method Title"
"Customweb_SaferpayCw::Minimum Order Total","Cantidad mínima del pedido"
"Customweb_SaferpayCw::Minimum order price !price","Minimum order price !price"
"Customweb_SaferpayCw::Missing permissions for this action.","Faltan permisos para esta acción."
"Customweb_SaferpayCw::Month","Mes"
"Customweb_SaferpayCw::My Saferpay Aliases","My Saferpay Aliases"
"Customweb_SaferpayCw::New Order","New Order"
"Customweb_SaferpayCw::New Order Status","Estado de orden nuevo"
"Customweb_SaferpayCw::New card","New card"
"Customweb_SaferpayCw::Next Update Execution Date","Next Update Execution Date"
"Customweb_SaferpayCw::No","No"
"Customweb_SaferpayCw::No CVC provided.","No CVC siempre."
"Customweb_SaferpayCw::No IBAN provided.","No se proporciona IBAN."
"Customweb_SaferpayCw::No Items","No Items"
"Customweb_SaferpayCw::No additional payment information available.","No hay información adicional de pago disponible."
"Customweb_SaferpayCw::No address is sent","No enviar niguna dirección"
"Customweb_SaferpayCw::No authorization method found for payment method !method.","Ningún método de autorización encontrado para el pago al !method."
"Customweb_SaferpayCw::No billing address was returned.","No se ha devuelto ninguna dirección de facturación."
"Customweb_SaferpayCw::No button returned.","Botón no regresó."
"Customweb_SaferpayCw::No date of birth provided.","No se indica la fecha de nacimiento."
"Customweb_SaferpayCw::No delivery address was returned.","No se ha devuelto ninguna dirección de entrega."
"Customweb_SaferpayCw::No gender provided.","No se proporciona sexo."
"Customweb_SaferpayCw::No legal form provided.","No se proporciona forma jurídica."
"Customweb_SaferpayCw::No method wrapper found for payment method '!method'.","Ningún método de envoltura encontrado para el pago al '!method'."
"Customweb_SaferpayCw::No redirect url or token received.","No se ha recibido ninguna URL de redirección ni token."
"Customweb_SaferpayCw::No refund possible.","Ningún reembolso posible"
"Customweb_SaferpayCw::No shipping method needed.","No shipping method needed."
"Customweb_SaferpayCw::No theme","Ningún tema"
"Customweb_SaferpayCw::No, use the dropdown.","No, use the dropdown."
"Customweb_SaferpayCw::None","Nono"
"Customweb_SaferpayCw::Normal mode","Modo normalo"
"Customweb_SaferpayCw::Not an alias transaction","No es una transacción de alias"
"Customweb_SaferpayCw::Not supported","No soportado"
"Customweb_SaferpayCw::Only an authorized transaction can be marked as finally declined.","Only an authorized transaction can be marked as finally declined."
"Customweb_SaferpayCw::Only an uncertain transaction can be marked as finally declined.","Only an uncertain transaction can be marked as finally declined."
"Customweb_SaferpayCw::Only authorized transaction can be cancelled.","Sólo las transacciones autorizadas se pueden cancelar."
"Customweb_SaferpayCw::Only authorized transaction can be captured.","Sólo las transacciones autorizadas pueden ser contabilizadas"
"Customweb_SaferpayCw::Only authorized transaction can be refunded.","Sólo las transacciones autorizadas pueden ser reembolsadas."
"Customweb_SaferpayCw::Only captured transaction can be refunded.","Sólo las transacciones contabilizadas pueden ser reembolsadas"
"Customweb_SaferpayCw::Only delivery address is sent","Sólo se envía la dirección de entrega"
"Customweb_SaferpayCw::Only on captured transaction the flag customer refusing to pay can be set.","Only on captured transaction the flag customer refusing to pay can be set."
"Customweb_SaferpayCw::Operation Mode","Modo de operación"
"Customweb_SaferpayCw::Order #","Order #"
"Customweb_SaferpayCw::Order Grand Total","Gran Total del Pedido"
"Customweb_SaferpayCw::Order Information","Order Information"
"Customweb_SaferpayCw::Order Prefix","Prefijo del pedido"
"Customweb_SaferpayCw::Order Review","Order Review"
"Customweb_SaferpayCw::Order Summary","Order Summary"
"Customweb_SaferpayCw::Order Total","Order Total"
"Customweb_SaferpayCw::Order cancelled, because the customer was too long in the payment process of Saferpay.","El pedido fue cancelado debido a que el cliente se encuentra demasiado tiempo en el proceso de pago de Saferpay."
"Customweb_SaferpayCw::Order prefix","Order prefix"
"Customweb_SaferpayCw::Order was placed using %s","Order was placed using %s"
"Customweb_SaferpayCw::Orders","Orders"
"Customweb_SaferpayCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Pedidos cuyos pagos quedarán pendiente mayor que el tiempo definido en minutos se cancelarán automáticamente. Para utilizar esta función es necesario configurar Magento cron."
"Customweb_SaferpayCw::Other","Otros"
"Customweb_SaferpayCw::Paid Amount","Cantidad pagada"
"Customweb_SaferpayCw::Partial refund not possible. You may retry with the total transaction amount.","Reembolso parcial imposible. El importe es mayor que el importe total contabilizado."
"Customweb_SaferpayCw::Password","Password"
"Customweb_SaferpayCw::Password and password confirmation are not equal.","Password and password confirmation are not equal."
"Customweb_SaferpayCw::Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Customweb_SaferpayCw::Payment","Payment"
"Customweb_SaferpayCw::Payment Details","Datos de pago"
"Customweb_SaferpayCw::Payment ID","ID de pago"
"Customweb_SaferpayCw::Payment Id","ID de pago"
"Customweb_SaferpayCw::Payment Information","Condiciones de venta"
"Customweb_SaferpayCw::Payment Method","Forma de pago"
"Customweb_SaferpayCw::Payment Method Name","Nombre de la forma de pago"
"Customweb_SaferpayCw::Payment Note","Payment Note"
"Customweb_SaferpayCw::Payment Page CSS URL","Página de pago CSS URL"
"Customweb_SaferpayCw::Payment Page Configuration Name","Nombre de configuración página de pago"
"Customweb_SaferpayCw::Payment Page Theme","Tema de la página de pago"
"Customweb_SaferpayCw::Payment Reason","Motivo del pago"
"Customweb_SaferpayCw::Payment captured successfully.","Pago capturado con éxito."
"Customweb_SaferpayCw::Payment could not be authorized. Cancelling order. Reason : ","El pago no fue autorizado. El pedido será cancelado. Razón:"
"Customweb_SaferpayCw::Payment details can be entered after placing the order","Detalles del pago se pueden introducir a partir del pedido"
"Customweb_SaferpayCw::Payment from Applicable Countries","Payment from Applicable Countries"
"Customweb_SaferpayCw::Payment from Specific Countries","Payment from Specific Countries"
"Customweb_SaferpayCw::Payment from applicable countries","Pago de países aplicables"
"Customweb_SaferpayCw::Payment from specific countries","Pago de países específicos"
"Customweb_SaferpayCw::Payment is pending at SaferpayCw","Pago está pendiente con SaferpayCw"
"Customweb_SaferpayCw::Payment method description","Descripción de la forma de pago"
"Customweb_SaferpayCw::Payment method not available.","Método de pago no disponible."
"Customweb_SaferpayCw::Payment note","Payment note"
"Customweb_SaferpayCw::Payment period extension","Extensión del período de pago"
"Customweb_SaferpayCw::Payment with %s","Pago con %s"
"Customweb_SaferpayCw::Payment with Saferpay","Pago con Saferpay"
"Customweb_SaferpayCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Los pagos se pueden actualizar de forma automática (intervalo en minutos) via API (sie está activado). Para utilizar la función, el Magento Cron debe estar activado."
"Customweb_SaferpayCw::Pending","Pendiente"
"Customweb_SaferpayCw::Pending SaferpayCw","Pending SaferpayCw"
"Customweb_SaferpayCw::Place Order","Place Order"
"Customweb_SaferpayCw::Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Customweb_SaferpayCw::Please check the entered CVC number.","Por favor, compruebe el número de CVC introducido."
"Customweb_SaferpayCw::Please check the entered credit card number.","Por favor, compruebe el número de la tarjeta de crédito introducida."
"Customweb_SaferpayCw::Please check your card details.","Por favor, compruebe los datos de su tarjeta."
"Customweb_SaferpayCw::Please check your payment details.","Por favor, compruebe sus datos de pago."
"Customweb_SaferpayCw::Please choose the legal form of your company.","Por favor, elija la forma jurídica de su empresa."
"Customweb_SaferpayCw::Please choose your gender","Por favor, elija su sexo"
"Customweb_SaferpayCw::Please enter here the Bank Identifier Code (BIC).","Por favor introduzca el Código de identificación bancaria (BIC)."
"Customweb_SaferpayCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Por favor, introduzca la CVC su tarjeta. Usted puede encontrar esto en la parte de atrás de su tarjeta de crédito."
"Customweb_SaferpayCw::Please enter here the International Bank Account Number (IBAN).","Por favor introduzca el Número de Cuenta Bancaria Internacional (IBAN)."
"Customweb_SaferpayCw::Please enter here the account holder name on the card.","Por favor introduzca el nombre titular de la cuenta de la tarjeta."
"Customweb_SaferpayCw::Please enter here the account holder name.","Escriba aquí el nombre del titular."
"Customweb_SaferpayCw::Please enter here the account number of your bank account.","Introduce el número de cuenta de tu cuenta bancaria."
"Customweb_SaferpayCw::Please enter here the bank code of your bank.","Por favor, introduzca su código bancario."
"Customweb_SaferpayCw::Please enter here the card holder name on the card.","Por favor indique el titular de la tarjeta a su tarjeta de crédito."
"Customweb_SaferpayCw::Please enter here the commercial number of your company.","Por favor introduzca el número comercial de su empresa."
"Customweb_SaferpayCw::Please enter here the name of the account owner.","Por favor, introduzca el nombre del titular de la cuenta bancaria"
"Customweb_SaferpayCw::Please enter here the number on your card.","Por favor, introduzca su número de tarjeta"
"Customweb_SaferpayCw::Please enter here the sales tax number of your company.","Por favor, introduzca aquí el número de impuesto sobre las ventas de su empresa."
"Customweb_SaferpayCw::Please enter here your social security number.","Por favor, introduzca aquí su número de seguro social."
"Customweb_SaferpayCw::Please enter the creditor identifier that you are able to receive from the Bundesbank (see http://www.bundesbank.de/Navigation/EN/Tasks/Payment_systems/SEPA/Creditor_Identifier/creditor_identifier.html)","Por favor, introduzca el identificador de acreedor que puede recibir del Bundesbank (véase http://www.bundesbank.de/Navigation/EN/Tasks/Payment_systems/SEPA/Creditor_Identifier/creditor_identifier.html)."
"Customweb_SaferpayCw::Please enter the location of your bank.","Por favor, introduzca la ubicación de su banco."
"Customweb_SaferpayCw::Please enter the name of your bank.","Por favor escriba el nombre de su banco."
"Customweb_SaferpayCw::Please enter the name of your company if you order for your company.","Si compra para la empresa, introduzca el nombre de su empresa."
"Customweb_SaferpayCw::Please enter your IBAN number.","Por favor, introduzca su número de IBAN."
"Customweb_SaferpayCw::Please enter your issue number, if there is no CVC code on your card.","Por favor, introduzca su número de emisión, si no existe un código CVC de su tarjeta."
"Customweb_SaferpayCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_SaferpayCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Por favor, parpadear o desactivar el almacenamiento de caché y vuelva a intentarlo. Si esto no ayuda, cambie el método de autorización para PaymentPage y <a href=""%s"" target=""_blank"">contacta sellXed</a>.', 'http://www.sellxed.com/en/support"
"Customweb_SaferpayCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_SaferpayCw::Please log in below:","Please log in below:"
"Customweb_SaferpayCw::Please note that your invoice is paid when the amount has successfully arrived the account named above.","Tenga en cuenta que su factura se paga cuando el importe ha llegado con éxito a la cuenta mencionada anteriormente."
"Customweb_SaferpayCw::Please read and confirm our terms and conditions!","Please read and confirm our terms and conditions!"
"Customweb_SaferpayCw::Please select","Por favor seleccione"
"Customweb_SaferpayCw::Please select a shipping method before sending the order.","Please select a shipping method before sending the order."
"Customweb_SaferpayCw::Please select the Bank Identifier Code (BIC) of your bank.","Por favor, seleccione el código de identificación bancaria (BIC) de su banco."
"Customweb_SaferpayCw::Please select the day of your birth.","Por favor seleccione el día de su nacimiento."
"Customweb_SaferpayCw::Please select the day on which you were born.","Introduzca el día de su nacimiento"
"Customweb_SaferpayCw::Please select the expiry month on your card.","Por favor seleccione el mes de la fecha de vencimiento de su tarjeta de crédito."
"Customweb_SaferpayCw::Please select the expiry year on your card.","Por favor introduzca la fecha de caducidad de la tarjeta."
"Customweb_SaferpayCw::Please select the month in which you were born.","Introduzca el mes de su nacimiento"
"Customweb_SaferpayCw::Please select the month of your birth.","Por favor seleccione el mes de su nacimiento."
"Customweb_SaferpayCw::Please select the the year of your birth.","Por favor, seleccione el año de tu nacimiento."
"Customweb_SaferpayCw::Please select the year in which you were born.","Introduzca el año de su nacimiento"
"Customweb_SaferpayCw::Please wait, processing your order...","Please wait, processing your order..."
"Customweb_SaferpayCw::Possible fraud detected. Parameters send from SaferpayCw were not correct.","Fraude posible detectado. Los parametros enviados de SaferpayCw no son correctos."
"Customweb_SaferpayCw::Price","Precio"
"Customweb_SaferpayCw::Product","Producto"
"Customweb_SaferpayCw::Product Name","Product Name"
"Customweb_SaferpayCw::Purchase Point","Purchase Point"
"Customweb_SaferpayCw::Qty","Cantidad"
"Customweb_SaferpayCw::Received malformed response.","Recibió una respuesta malformada."
"Customweb_SaferpayCw::Received unknown refund state: !state","Recibido desconocido estado de reembolso: !state"
"Customweb_SaferpayCw::Received unknown transaction state: !state","Estado de la transacción desconocida recibida: !state"
"Customweb_SaferpayCw::Received unkown refund state: !state","Received unkown refund state: !state"
"Customweb_SaferpayCw::Received unkown transaction state: !state","Received unkown transaction state: !state"
"Customweb_SaferpayCw::Received wrong transaction type: !type","Se ha recibido una clase de movimiento errónea: !type"
"Customweb_SaferpayCw::Received wrong type: !type","Recibí un tipo incorrecto: !type"
"Customweb_SaferpayCw::Recurring Payments","Recurring Payments"
"Customweb_SaferpayCw::Reference: @reference","Referencia: @reference"
"Customweb_SaferpayCw::Refund Amount","Cantidad del reembolso"
"Customweb_SaferpayCw::Refund ID","ID Reembolso"
"Customweb_SaferpayCw::Refund amount","La cantidad del reembolso"
"Customweb_SaferpayCw::Refund information","Informaciones del reembolso"
"Customweb_SaferpayCw::Refund of !amount failed because no card reference id was provided. This most likely because you try to refund a transaction authorized over the payment page. (Code: !result).","Devolución del !amount fracasó porque no se proporcionó Identificación de referencia de cartas. Esto muy probablemente porque usted trata de la devolución de una operación autorizada por la página de pago (Payment Page). (Código: !result)."
"Customweb_SaferpayCw::Refund of !amount failed with code: !result.","Reembolso de !amount ha fallado con el código: !result"
"Customweb_SaferpayCw::Refund status","Estado de su reembolso"
"Customweb_SaferpayCw::Refunded Amount","Importe reembolsado"
"Customweb_SaferpayCw::Refunding Transaction '!transactionId'","Reembolso de Transacción '!transactionId'"
"Customweb_SaferpayCw::Refunds","Refunds"
"Customweb_SaferpayCw::Register","Register"
"Customweb_SaferpayCw::Register to Create an Account","Register to Create an Account"
"Customweb_SaferpayCw::Register with us for future convenience:","Register with us for future convenience:"
"Customweb_SaferpayCw::Release Date","Release Date"
"Customweb_SaferpayCw::Request Validation failed.","La validación de la solicitud falló."
"Customweb_SaferpayCw::Review","Review"
"Customweb_SaferpayCw::Rounding Adjustment","Rounding Adjustment"
"Customweb_SaferpayCw::Row Total","Fila total"
"Customweb_SaferpayCw::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_SaferpayCw::SKU","SKU"
"Customweb_SaferpayCw::SKU:","SKU:"
"Customweb_SaferpayCw::Saferpay Test Card","Saferpay Test Card"
"Customweb_SaferpayCw::Sales","Venta"
"Customweb_SaferpayCw::Sales Tax Number","Número de Impuesto a las Ventas"
"Customweb_SaferpayCw::Save","Guardar"
"Customweb_SaferpayCw::Saved cards:","Tarjetas guardadas"
"Customweb_SaferpayCw::See order and shipping status","See order and shipping status"
"Customweb_SaferpayCw::Select Brand","Seleccione una marca"
"Customweb_SaferpayCw::Select Method","Select Method"
"Customweb_SaferpayCw::Select the authorization method to use for processing this payment method.","Selecciona el método de autorización para este método de pago."
"Customweb_SaferpayCw::Select the date of your birth.","Seleccione la fecha de su nacimiento."
"Customweb_SaferpayCw::Select the date on which your card expires.","Selecciona la fecha de vencimiento de la tarjeta"
"Customweb_SaferpayCw::Select your companys legal form.","Seleccione la forma jurídica de su empresa."
"Customweb_SaferpayCw::Select your date of birth.","Introduzca su fecha de nacimiento"
"Customweb_SaferpayCw::Select your gender.","Selecciona su sexo"
"Customweb_SaferpayCw::Sellxed On Hold","Sellxed En espera"
"Customweb_SaferpayCw::Send Invoice Email","Send Invoice Email"
"Customweb_SaferpayCw::Send amounts to Saferpay in base currency.","Send amounts to Saferpay in base currency."
"Customweb_SaferpayCw::Send amounts to Saferpay in store's base currency.","Send amounts to Saferpay in store's base currency."
"Customweb_SaferpayCw::Send invoice email","Send invoice email"
"Customweb_SaferpayCw::Send the invoice email automatically after invoice creation.","Send the invoice email automatically after invoice creation."
"Customweb_SaferpayCw::Server responded '!response'","Servidor respondido '!response'"
"Customweb_SaferpayCw::Server responded with unexpected headers '!response'","Servidor respondió con cabeceras inesperados '!response'"
"Customweb_SaferpayCw::Session timed out, please try again.","Se ha agotado el tiempo de la sesión, por favor inténtelo de nuevo."
"Customweb_SaferpayCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","En 'Contabilización directa' el montante está directamente contabilizado al cliente. En el caso 'Contabilización retrasado' el montant está contabilizado con un retraso definido por usted."
"Customweb_SaferpayCw::Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Customweb_SaferpayCw::Settlement after order","Creación después del pedido"
"Customweb_SaferpayCw::Shipping & Handling","Envío y dirección"
"Customweb_SaferpayCw::Shipping Address","Shipping Address"
"Customweb_SaferpayCw::Shipping Amount","Cantidad del envío"
"Customweb_SaferpayCw::Shipping Information","Información del envío"
"Customweb_SaferpayCw::Shipping Method","Shipping Method"
"Customweb_SaferpayCw::Shipping Methods","Shipping Methods"
"Customweb_SaferpayCw::Shipping Refund","Reembolso para el envío"
"Customweb_SaferpayCw::Shipping address of this transaction and initial alias transaction do not match.","La dirección de envío de esta transacción y la transacción inicial de alias no coinciden."
"Customweb_SaferpayCw::Shop","Shop"
"Customweb_SaferpayCw::Should Saferpay display a field requesting the card holder name on their page?","¿Debería Saferpay mostrar un campo solicitando el nombre del titular de la tarjeta en su página?"
"Customweb_SaferpayCw::Should Saferpay send a confirmation email to the customer. (Available only if the customer is redirected to Saferpay.)","Si Saferpay envía un correo electrónico de confirmación al cliente. (Disponible sólo si el cliente es redirigido a Saferpay.)"
"Customweb_SaferpayCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Si la cantidad se capturará automáticamente después de la orden (directa) o debería sólo la cantidad reservada (diferido)?"
"Customweb_SaferpayCw::Should the billing address be sent to Saferpay?","¿Debe enviarse la dirección de facturación a Saferpay?"
"Customweb_SaferpayCw::Should the customer address be sent to Saferpay?","Mediante el envío de la dirección de facturación se mostrará al cliente de nuevo en la página de pago."
"Customweb_SaferpayCw::Show","Show"
"Customweb_SaferpayCw::Show Account Selection","Show Account Selection"
"Customweb_SaferpayCw::Show Further Settings and Information","Mostrar más ajustes e información."
"Customweb_SaferpayCw::Show Image","Show Image"
"Customweb_SaferpayCw::Show Payment Id","Show Payment Id"
"Customweb_SaferpayCw::Show the payment id","Show the payment id"
"Customweb_SaferpayCw::Show the payment id in the order information","Show the payment id in the order information"
"Customweb_SaferpayCw::Show the payment image","Show the payment image"
"Customweb_SaferpayCw::Show the payment image on the checkout page","Show the payment image on the checkout page"
"Customweb_SaferpayCw::Sign In","Sign In"
"Customweb_SaferpayCw::Six","Six"
"Customweb_SaferpayCw::Social Security Number","Número de Seguro Social"
"Customweb_SaferpayCw::Sort Order","Modificar orden"
"Customweb_SaferpayCw::Status","Estado"
"Customweb_SaferpayCw::Store the payment details","Store the payment details"
"Customweb_SaferpayCw::Stored payment details","Stored payment details"
"Customweb_SaferpayCw::Submit Order","Submit Order"
"Customweb_SaferpayCw::Submitting order information...","Submitting order information..."
"Customweb_SaferpayCw::Subtotal","Total parcial"
"Customweb_SaferpayCw::Success","Exito"
"Customweb_SaferpayCw::Successful","Con éxito"
"Customweb_SaferpayCw::Successful online refund of amount","Reembolso exitosa línea de cantidad"
"Customweb_SaferpayCw::Successful payment authorization.","Autorización de pago con éxito."
"Customweb_SaferpayCw::Successfull online refund of amount","Reembolso del montante con éxito"
"Customweb_SaferpayCw::Support","Support"
"Customweb_SaferpayCw::Tax Amount","Total de impuestos"
"Customweb_SaferpayCw::Technical error, please contact merchant.","Technical error, please contact merchant."
"Customweb_SaferpayCw::Technical error, please try again.","Error técnico, por favor, inténtelo de nuevo."
"Customweb_SaferpayCw::Technical issue: This payment methods is not available at the moment.","Problema técnico: Esta forma de pago no está disponible actualmente."
"Customweb_SaferpayCw::Technical problem, please contact the merchant.","Problema técnico, por favor, póngase en contacto con el comerciante."
"Customweb_SaferpayCw::Test API password","Test API password"
"Customweb_SaferpayCw::Test Account ID","Test Account ID"
"Customweb_SaferpayCw::Test Customer ID","Probar ID de cliente"
"Customweb_SaferpayCw::Test JSON API Password","Probar la contraseña de la API de JSON"
"Customweb_SaferpayCw::Test JSON Username","Probar JSON Nombre de usuario"
"Customweb_SaferpayCw::Test MoTo Terminal ID","Probar ID de terminal MoTo"
"Customweb_SaferpayCw::Test Mode","Modo de prueba"
"Customweb_SaferpayCw::Test Terminal ID","ID de terminal de prueba"
"Customweb_SaferpayCw::Test Transaction","Test Transaction"
"Customweb_SaferpayCw::Thank you for choosing the BillPay Pay by invoice option. Please transfer the amount within the payment deadline to the following account, stating the reference (@ref):","Gracias por elegir la opción BillPay Pay by invoice. Por favor, transfiera el importe dentro del plazo de pago a la siguiente cuenta, indicando la referencia (@ref):"
"Customweb_SaferpayCw::The 3-D Secure authentication failed.","La autenticación de 3-D Secure falló."
"Customweb_SaferpayCw::The API password as given by Saferpay for the MoTo Account ID.","La contraseña de API dada por Saferpay para el MOTO ID de la cuenta."
