"Customweb_SaferpayCw::* Required Fields","* campo obbligatorio"
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Se lo stato é 'in sospeso' non é chiaro se la transazione verrà annullata correttamente."
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Se lo stato é 'In sospeso' non é chiaro se la transazione sarà registrata con successo."
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Se lo stato é 'In sospeso' non é chiaro se la transazione sarà rimborsata con successo."
"Customweb_SaferpayCw::If the test mode is selected the test account id (99867-94913159) is used. Otherwise the configured account id is used.","In modalità test, l'ID account di prova (99867-94913159) viene selezionato automaticamente. In caso contrario, l'ID account configurato é utilizzato."
"Customweb_SaferpayCw::If the test mode is selected the test account id is used. Otherwise the configured live account id is used.","Se viene selezionata la modalità test, viene utilizzato l'ID account test. In caso contrario, viene utilizzato l'ID dell'account live configurato."
"Customweb_SaferpayCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_SaferpayCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Se hai problemi con il modulo non esitare a contattarci. Controlla anche <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> per ulteriori informazioni."
"Customweb_SaferpayCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Se si desidera utilizzare pagamenti ricorrenti, è necessario il modulo di Magento ""abbonamento CustomWeb "". Per ulteriori informazioni visitare <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_SaferpayCw::Image Brand Selection","Image Brand Selection"
"Customweb_SaferpayCw::In case hidden authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands.","Se si utilizza un' autorizzazione nascosta, la marca della carta di credito é rilevata tramite ill numero della carta e il numero di carta viene convalidato di conseguenza. Questa impostazione permette la limitazione dei marchi consentiti."
"Customweb_SaferpayCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In alcuni casi possono volerci alcuni secondi prima che la transazione sia autorizzata con successo. Quando l'opzione é attivata, la notifica arriva dopo qualche secondo."
"Customweb_SaferpayCw::In some cases the customer switch the payment method or select a more specific one. This label shows the effective one.","In alcuni casi il cliente cambia il metodo di pagamento o selezionarne uno più specifico. Questa etichetta indica quella effettiva."
"Customweb_SaferpayCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In alcuni casi l'operazione richiede alcuni secondi prima di essere autorizzata. Quando questa opzione è abilitata l'utente è trattenuto fino a quando la transazione non é andato a buon fine. Se questo non è il caso in 30 secondi viene visualizzato un messaggio al cliente che spiega la situazione."
"Customweb_SaferpayCw::Inactive","Inattivo"
"Customweb_SaferpayCw::Incl. Tax","Incl. tasse"
"Customweb_SaferpayCw::Inform customer by Saferpay","Informare i clienti tramite Saferpay"
"Customweb_SaferpayCw::Inform the customer","Informare il cliente"
"Customweb_SaferpayCw::Information","Informazione"
"Customweb_SaferpayCw::Internal error at ____paymentServiceProvider____.","Errore interno a ____paymentServiceProvider____."
"Customweb_SaferpayCw::Invalid Currency.","Valuta non valida."
"Customweb_SaferpayCw::Invalid Token.","Token non valido."
"Customweb_SaferpayCw::Invalid amount.","Quantità non valida."
"Customweb_SaferpayCw::Invalid credit card data: Please check your credit card data.","Si prega di verificare i dati della carta di credito."
"Customweb_SaferpayCw::Invalid credit card data: The expiration date has to be in the future.","La data di scadenza deve essere in futuro."
"Customweb_SaferpayCw::Invalid credit card data: The given card number is not valid.","Il numero della carta non è valido."
"Customweb_SaferpayCw::Invalid login or password.","Login o password non validi."
"Customweb_SaferpayCw::Invalid payment means.","Metodi di pagamento non validi."
"Customweb_SaferpayCw::Invoice Items","Articoli fattura"
"Customweb_SaferpayCw::Invoice Settlement","Pagamento della fattura"
"Customweb_SaferpayCw::Invoice Totals","Totali della fattura"
"Customweb_SaferpayCw::Invoice settlement","Creazione della fattura"
"Customweb_SaferpayCw::Invoice was created successfully","La fattura é stato creata con successo."
"Customweb_SaferpayCw::Invoices","Fatture"
"Customweb_SaferpayCw::Issue Number","Numero Issue"
"Customweb_SaferpayCw::It is not possible to checkout in your country.","Non é possibile effettuare il checkout nel tuo paese."
"Customweb_SaferpayCw::Item","Articolo"
"Customweb_SaferpayCw::Items","Articoli"
"Customweb_SaferpayCw::Items Refunded","Articoli rimborsati"
"Customweb_SaferpayCw::JCB","JCB"
"Customweb_SaferpayCw::LLC","LLC"
"Customweb_SaferpayCw::Laser Card","Laser Card"
"Customweb_SaferpayCw::Learn More","Per saperne di più"
"Customweb_SaferpayCw::Legal form","Forma giuridica"
"Customweb_SaferpayCw::Legalform","Forma giuridica"
"Customweb_SaferpayCw::Liability Shift Behavior","Comportamento della liability shift"
"Customweb_SaferpayCw::Live API password","Password Live API"
"Customweb_SaferpayCw::Live Customer ID","Live Customer ID"
"Customweb_SaferpayCw::Live HMAC Key","Live HMAC Key"
"Customweb_SaferpayCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_SaferpayCw::Live JSON API password","Password Live JSON API"
"Customweb_SaferpayCw::Live JSON Username","Username di Live JSON"
"Customweb_SaferpayCw::Live MoTo Terminal ID","Live MoTo Terminal ID"
"Customweb_SaferpayCw::Live Mode","Live Mode"
"Customweb_SaferpayCw::Live Password","Live Password"
"Customweb_SaferpayCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_SaferpayCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_SaferpayCw::Live Terminal ID","Live Terminal ID"
"Customweb_SaferpayCw::Live account ID","Live account ID"
"Customweb_SaferpayCw::Logging","Logging"
"Customweb_SaferpayCw::Login","Login"
"Customweb_SaferpayCw::Login & Register","Login & Registrati"
"Customweb_SaferpayCw::Login and password are required.","Login e password richiesti."
"Customweb_SaferpayCw::Ltd.","Ltd."
"Customweb_SaferpayCw::Maestro","Maestro"
"Customweb_SaferpayCw::Mail Order / Telephone Order (MoTo)","Mail Order / Telephone Order (MoTo)"
"Customweb_SaferpayCw::Mail order/telephone order authorization","Autorizzazione degli ordini via eMail/telefono"
"Customweb_SaferpayCw::Male","Maschio"
"Customweb_SaferpayCw::Manage Stores","Gestire negozi"
"Customweb_SaferpayCw::Manage Saferpay Aliases","Gestisci gli alias Saferpay"
"Customweb_SaferpayCw::Mandate text","Mandato del testo"
"Customweb_SaferpayCw::Mandatory","Obbligatorio"
"Customweb_SaferpayCw::Mark transactions without liability shift as uncertain","Evidenziare le transazioni senza liability shift come non sicuri"
"Customweb_SaferpayCw::MasterCard","MasterCard"
"Customweb_SaferpayCw::MasterPass","MasterPass"
"Customweb_SaferpayCw::MasterPass: Order Confirmation","MasterPass: conferma dell'ordine"
"Customweb_SaferpayCw::Mastercard","Mastercard"
"Customweb_SaferpayCw::Maximum Order Total","Totale massimo dell'ordine"
"Customweb_SaferpayCw::Merchant IBAN (Mandate)","Merchant IBAN (Mandate)"
"Customweb_SaferpayCw::Merchant Name (Mandate)","Nome del commerciante ( Mandato)"
"Customweb_SaferpayCw::Merchant email","Email del commerciante"
"Customweb_SaferpayCw::Message","Notifica"
"Customweb_SaferpayCw::Method Title","Titolo del metodo"
"Customweb_SaferpayCw::Minimum Order Total","Minimo per il totale dell'ordine"
"Customweb_SaferpayCw::Minimum order price !price","Prezzo minimo per ordinare !price"
"Customweb_SaferpayCw::Missing permissions for this action.","Non hai il permesso per effettuare questa azione."
"Customweb_SaferpayCw::Month","Mese"
"Customweb_SaferpayCw::My Saferpay Aliases","I miei Alias Saferpay"
"Customweb_SaferpayCw::New Order","Nuovo ordine"
"Customweb_SaferpayCw::New Order Status","Nuovo stato dell'ordine"
"Customweb_SaferpayCw::New card","Nuova carta"
"Customweb_SaferpayCw::Next Update Execution Date","Data del prossimo aggiornamento"
"Customweb_SaferpayCw::No","No"
"Customweb_SaferpayCw::No CVC provided.","Nessuna CVC disponibile."
"Customweb_SaferpayCw::No IBAN provided.","Nessun IBAN fornito."
"Customweb_SaferpayCw::No Items","Nessun articolo"
"Customweb_SaferpayCw::No additional payment information available.","Nessuna informazione di pagamento supplementare."
"Customweb_SaferpayCw::No address is sent","Indirizzo non inviato"
"Customweb_SaferpayCw::No authorization method found for payment method !method.","Nessun metodo di autorizzazione trovato per il pagamento !method."
"Customweb_SaferpayCw::No billing address was returned.","Non é stato fornito alcun indirizzo di fatturazione."
"Customweb_SaferpayCw::No button returned.","Nessun tasto fornito."
"Customweb_SaferpayCw::No date of birth provided.","Non é stata fornita la data di nascita."
"Customweb_SaferpayCw::No delivery address was returned.","Nessun indirizzo di spedizione fornito."
"Customweb_SaferpayCw::No gender provided.","Non é stato indicato il genere."
"Customweb_SaferpayCw::No legal form provided.","Non è prevista alcuna forma giuridica."
"Customweb_SaferpayCw::No method wrapper found for payment method '!method'.","Nessun metodo wrapper trovato per il pagamento '!method'."
"Customweb_SaferpayCw::No redirect url or token received.","Nessun Redirect URL o Token ricevuto."
"Customweb_SaferpayCw::No refund possible.","Nessun rimborso possibile"
"Customweb_SaferpayCw::No shipping method needed.","Nessun metodo di spedizione necessario."
"Customweb_SaferpayCw::No theme","Nessun tema"
"Customweb_SaferpayCw::No, use the dropdown.","No, use the dropdown."
"Customweb_SaferpayCw::None","Nessuna"
"Customweb_SaferpayCw::Normal mode","Modalità normale"
"Customweb_SaferpayCw::Not an alias transaction","Non é una transazione alias"
"Customweb_SaferpayCw::Not supported","Non supportato"
"Customweb_SaferpayCw::Only an authorized transaction can be marked as finally declined.","Solo una transazione autorizzata può essere contrassegnata come Rifiutata."
"Customweb_SaferpayCw::Only an uncertain transaction can be marked as finally declined.","Solo una transazione incerta può essere contrassegnata  Rifiutata."
"Customweb_SaferpayCw::Only authorized transaction can be cancelled.","Solo le transazioni autorizzate possono essere cancellate."
"Customweb_SaferpayCw::Only authorized transaction can be captured.","Solo le transazioni autorizzate possono essere registrate."
"Customweb_SaferpayCw::Only authorized transaction can be refunded.","Solo transazioni autorizzate possono essere rimborsate."
"Customweb_SaferpayCw::Only captured transaction can be refunded.","Solo le transazioni registrate possono essere rimborsate."
"Customweb_SaferpayCw::Only delivery address is sent","Viene inviato solo l'indirizzo di consegna"
"Customweb_SaferpayCw::Only on captured transaction the flag customer refusing to pay can be set.","E ' possibile impostare un flag per i clienti che non hanno pagato solo sulle transazioni registrate."
"Customweb_SaferpayCw::Operation Mode","Modalità di funzionamento"
"Customweb_SaferpayCw::Order #","Numero d'ordine"
"Customweb_SaferpayCw::Order Grand Total","Totale complessivo dell'ordine"
"Customweb_SaferpayCw::Order Information","Informazioni sull'ordine"
"Customweb_SaferpayCw::Order Prefix","Prefisso dell'ordine"
"Customweb_SaferpayCw::Order Review","Controllo ordine"
"Customweb_SaferpayCw::Order Summary","Riassunto dell'ordine"
"Customweb_SaferpayCw::Order Total","Totale dell'ordine"
"Customweb_SaferpayCw::Order cancelled, because the customer was too long in the payment process of Saferpay.","L'ordine é stato annullato perché il cliente é rimasto troppo a lungo nel processo di pagamento di Saferpay."
"Customweb_SaferpayCw::Order prefix","Order prefix"
"Customweb_SaferpayCw::Order was placed using %s","L'ordine é stato effettuato usando %s"
"Customweb_SaferpayCw::Orders","Ordini"
"Customweb_SaferpayCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Gli ordini il cui pagamento é in sospeso da più tempo del timeout definito in minuti saranno annullati automaticamente. Per utilizzare questa funzione devi impostare Magento cron."
"Customweb_SaferpayCw::Other","Altro"
"Customweb_SaferpayCw::Paid Amount","Importo pagato"
"Customweb_SaferpayCw::Partial refund not possible. You may retry with the total transaction amount.","Rimborso parziale non possibile. Riprovare con l'importo totale della transazione."
"Customweb_SaferpayCw::Password","Password"
"Customweb_SaferpayCw::Password and password confirmation are not equal.","La password e la conferma della password non corrispondono."
"Customweb_SaferpayCw::Pay with ____paymentMethodName____","Paga con ____paymentMethodName____"
"Customweb_SaferpayCw::Payment","Pagamento"
"Customweb_SaferpayCw::Payment Details","Dettagli di pagamento"
"Customweb_SaferpayCw::Payment ID","Payment ID"
"Customweb_SaferpayCw::Payment Id","ID pagamento"
"Customweb_SaferpayCw::Payment Information","Informazioni sul pagamento"
"Customweb_SaferpayCw::Payment Method","Metodo di pagamento"
"Customweb_SaferpayCw::Payment Method Name","Nome del metodo di pagamento"
"Customweb_SaferpayCw::Payment Note","Scopo del pagamento"
"Customweb_SaferpayCw::Payment Page CSS URL","Payment Page CSS URL"
"Customweb_SaferpayCw::Payment Page Configuration Name","Nome di configurazione della pagina di pagamento"
"Customweb_SaferpayCw::Payment Page Theme","Payment Page Theme"
"Customweb_SaferpayCw::Payment Reason","Causa del pagamento"
"Customweb_SaferpayCw::Payment captured successfully.","Pagamento salvato con successo."
"Customweb_SaferpayCw::Payment could not be authorized. Cancelling order. Reason : ","Il pagamento non potesse essere autorizzato. L'ordine sarà annullato. Motivo:"
"Customweb_SaferpayCw::Payment details can be entered after placing the order","I dettagli di pagamento possono essere inseriti dopo avere effettuato l'ordinato."
"Customweb_SaferpayCw::Payment from Applicable Countries","Payment from Applicable Countries"
"Customweb_SaferpayCw::Payment from Specific Countries","Payment from Specific Countries"
"Customweb_SaferpayCw::Payment from applicable countries","Pagamento da paesi applicabili"
"Customweb_SaferpayCw::Payment from specific countries","Pagamento da paesi specifici"
"Customweb_SaferpayCw::Payment is pending at SaferpayCw","Pagamento in sospeso in SaferpayCw."
"Customweb_SaferpayCw::Payment method description","Descrizione di metodo di pagamento"
"Customweb_SaferpayCw::Payment method not available.","Metodo di pagamento non disponibile."
"Customweb_SaferpayCw::Payment note","Payment note"
"Customweb_SaferpayCw::Payment period extension","Estensione del periodo di pagamento"
"Customweb_SaferpayCw::Payment with %s","Pagamento con %s"
"Customweb_SaferpayCw::Payment with Saferpay","Pagamenti con ____ paymentServiceProviderName____"
"Customweb_SaferpayCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","I pagamenti possono essere aggiornati automaticamente (intervallo in minuti) via API (se attivato). Per utilizzare questa funzione, il Magento Cron deve essere abilitato."
"Customweb_SaferpayCw::Pending","In sospeso"
"Customweb_SaferpayCw::Pending SaferpayCw","SaferpayCw in attesa"
"Customweb_SaferpayCw::Place Order","Fare un ordine"
"Customweb_SaferpayCw::Please agree to all the terms and conditions before placing the order.","Accetta i termine e le condizioni prima di fare un ordine."
"Customweb_SaferpayCw::Please check the entered CVC number.","Si prega di controllare il numero CVC inserito."
"Customweb_SaferpayCw::Please check the entered credit card number.","Si prega di controllare il numero di carta di credito inserito."
"Customweb_SaferpayCw::Please check your card details.","Controlla i dettagli della carta."
"Customweb_SaferpayCw::Please check your payment details.","Controlla i tuoi dettagli di pagamento."
"Customweb_SaferpayCw::Please choose the legal form of your company.","Scegliere la forma giuridica della propria azienda."
"Customweb_SaferpayCw::Please choose your gender","Scegli il genere"
"Customweb_SaferpayCw::Please enter here the Bank Identifier Code (BIC).","Inserisci qui il codice di identificazione bancario (BIC)."
"Customweb_SaferpayCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Inserisci qui il codice CVC che si trova sul retro della tua carta."
"Customweb_SaferpayCw::Please enter here the International Bank Account Number (IBAN).","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Customweb_SaferpayCw::Please enter here the account holder name on the card.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"Customweb_SaferpayCw::Please enter here the account holder name.","Si prega di inserire qui il nome del titolare del conto."
"Customweb_SaferpayCw::Please enter here the account number of your bank account.","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Customweb_SaferpayCw::Please enter here the bank code of your bank.","Si prega di inserire il codice banca ."
"Customweb_SaferpayCw::Please enter here the card holder name on the card.","Inserire qui il nome del titolare della carta."
"Customweb_SaferpayCw::Please enter here the commercial number of your company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"Customweb_SaferpayCw::Please enter here the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"Customweb_SaferpayCw::Please enter here the number on your card.","Si prega di inserire il numero di carta di carta di credito."
"Customweb_SaferpayCw::Please enter here the sales tax number of your company.","Inserisci qui la partita IVA della tua azienda."
"Customweb_SaferpayCw::Please enter here your social security number.","Si prega di inserire il numero di sicurezza sociale."
"Customweb_SaferpayCw::Please enter the creditor identifier that you are able to receive from the Bundesbank (see http://www.bundesbank.de/Navigation/EN/Tasks/Payment_systems/SEPA/Creditor_Identifier/creditor_identifier.html)","Si prega di inserire l'identificazione del creditore che si è in grado di ricevere dalla Bundesbank (vedi http://www.bundesbank.de/Navigation/EN/Tasks/Payment_systems/SEPA/Creditor_Identifier/creditor_identifier.html)"
"Customweb_SaferpayCw::Please enter the location of your bank.","Si prega di inserire la posizione della banca."
"Customweb_SaferpayCw::Please enter the name of your bank.","Si prega di inserire il nome della banca."
"Customweb_SaferpayCw::Please enter the name of your company if you order for your company.","Se si ordina per un' azienda, inserisci il nome."
"Customweb_SaferpayCw::Please enter your IBAN number.","Inserisci il tuo numero IBAN."
"Customweb_SaferpayCw::Please enter your issue number, if there is no CVC code on your card.","Inserisci l'issue number, se non c'é alcun codice CVC sulla carta."
"Customweb_SaferpayCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Svuota o disabilita la memoria cache e riprova. Se non dovesse aiutare, cambia il metodo di autorizzazione in PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_SaferpayCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Si prega di lampeggiare o disabilitare la memoria cache e riprovare. Se questo non ha aiutato, cambiare il metodo di autorizzazione per PaymentPage e <a href=""%s"" target=""_blank"">contattare sellXed</a>.', 'http://www.sellxed.com/en/support"
"Customweb_SaferpayCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Svuota o disabilita la memoria cache e riprova. Se questo non aiuta, cambia il metodo di autorizzazione in PaymentPage e <a href=""%s"" target=""_blank"">contatta sellxed</a>."
"Customweb_SaferpayCw::Please log in below:","Log in"
"Customweb_SaferpayCw::Please note that your invoice is paid when the amount has successfully arrived the account named above.","Si prega di notare che la fattura viene pagata quando l'importo è arrivato con successo sul conto sopra indicato."
"Customweb_SaferpayCw::Please read and confirm our terms and conditions!","Leggi e conferma i termini e le condizioni!"
"Customweb_SaferpayCw::Please select","Si prega di selezionare"
"Customweb_SaferpayCw::Please select a shipping method before sending the order.","Seleziona un metodo di spedizione prima di inviare l'ordine."
"Customweb_SaferpayCw::Please select the Bank Identifier Code (BIC) of your bank.","Seleziona il Bank Identifier Code (BIC) della  banca."
"Customweb_SaferpayCw::Please select the day of your birth.","Si prega di selezionare il giorno della tua nascita."
"Customweb_SaferpayCw::Please select the day on which you were born.","Inserisci il giorno in cui sei nato"
"Customweb_SaferpayCw::Please select the expiry month on your card.","Devi inserire il mese della scadenza della carta."
"Customweb_SaferpayCw::Please select the expiry year on your card.","Inserisci la data di scadenza della carta."
"Customweb_SaferpayCw::Please select the month in which you were born.","Inserisci il mese in cui sei nato"
"Customweb_SaferpayCw::Please select the month of your birth.","Seleziona il mese di nascita."
"Customweb_SaferpayCw::Please select the the year of your birth.","Si prega di selezionare l'anno di nascita."
"Customweb_SaferpayCw::Please select the year in which you were born.","Inserisci l'anno di nascita"
"Customweb_SaferpayCw::Please wait, processing your order...","Per favore attendi, elaborando il tuo ordine..."
"Customweb_SaferpayCw::Possible fraud detected. Parameters send from SaferpayCw were not correct.","Possibili frodi rilevate. Parametri inviati da SaferpayCw non corretti."
"Customweb_SaferpayCw::Price","Prezzo"
"Customweb_SaferpayCw::Product","Prodotto"
"Customweb_SaferpayCw::Product Name","Nome del prodotto"
"Customweb_SaferpayCw::Purchase Point","Luogo di acquisto"
"Customweb_SaferpayCw::Qty","Quantità"
"Customweb_SaferpayCw::Received malformed response.","Ricevute risposte errate."
"Customweb_SaferpayCw::Received unknown refund state: !state","Received unknown refund state: !state"
"Customweb_SaferpayCw::Received unknown transaction state: !state","Received unknown transaction state: !state"
"Customweb_SaferpayCw::Received unkown refund state: !state","Ricevuto uno status di rimborso sconosciuto: !state"
"Customweb_SaferpayCw::Received unkown transaction state: !state","Status della transazione ricevuto sbagliato: !state"
"Customweb_SaferpayCw::Received wrong transaction type: !type","Tipo di transazione ricevuta sbagliata: !type"
"Customweb_SaferpayCw::Received wrong type: !type","Tipo sbagliato ricevuto: !type"
"Customweb_SaferpayCw::Recurring Payments","Pagamenti ricorrenti"
"Customweb_SaferpayCw::Reference: @reference","Riferimento: @reference"
"Customweb_SaferpayCw::Refund Amount","Importo rimborsato"
"Customweb_SaferpayCw::Refund ID","ID rimborso"
"Customweb_SaferpayCw::Refund amount","Importo rimborsato"
"Customweb_SaferpayCw::Refund information","Informazione sul rimborso"
"Customweb_SaferpayCw::Refund of !amount failed because no card reference id was provided. This most likely because you try to refund a transaction authorized over the payment page. (Code: !result).","Rimborso di !amount non riuscito perché nessun reference id  della carta é stato fornito. Questo molto probabilmente perché si tenta di rimborsare una transazione autorizzata sulla pagina di pagamento. (Code: !result)."
"Customweb_SaferpayCw::Refund of !amount failed with code: !result.","Rimborso di !amount non riuscito codice: !result."
"Customweb_SaferpayCw::Refund status","Status rimborso"
"Customweb_SaferpayCw::Refunded Amount","Importo rimborsato"
"Customweb_SaferpayCw::Refunding Transaction '!transactionId'","Rimborso delle transazioni' !transactionId'"
"Customweb_SaferpayCw::Refunds","Crediti"
"Customweb_SaferpayCw::Register","Registrarsi"
"Customweb_SaferpayCw::Register to Create an Account","Iscriviti per creare un account"
"Customweb_SaferpayCw::Register with us for future convenience:","Iscriviti per facilitare la tua prossima visita:"
"Customweb_SaferpayCw::Release Date","Data di rilascio"
"Customweb_SaferpayCw::Request Validation failed.","Richiesta di validazione fallita."
"Customweb_SaferpayCw::Review","Revisione"
"Customweb_SaferpayCw::Rounding Adjustment","Arrotondamenti"
"Customweb_SaferpayCw::Row Total","Totale riga"
"Customweb_SaferpayCw::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_SaferpayCw::SKU","SKU"
"Customweb_SaferpayCw::Saferpay Test Card","Saferpay Test Card"
"Customweb_SaferpayCw::Sales","Vendite"
"Customweb_SaferpayCw::Sales Tax Number","Numero tasse vendite"
"Customweb_SaferpayCw::Save","Salva"
"Customweb_SaferpayCw::Saved cards:","Carte salvate"
"Customweb_SaferpayCw::See order and shipping status","Controlla l'ordine e lo stato della spedizione"
"Customweb_SaferpayCw::Select Brand","Seleziona Marca"
"Customweb_SaferpayCw::Select Method","Seleziona metodo"
"Customweb_SaferpayCw::Select the authorization method to use for processing this payment method.","Seleziona il metodo di autorizzazione da utilizzare per l'elaborazione di questo metodo di pagamento."
"Customweb_SaferpayCw::Select the date of your birth.","Inserisci la data di nascita"
"Customweb_SaferpayCw::Select the date on which your card expires.","Seleziona la data di scadenza della carta."
"Customweb_SaferpayCw::Select your companys legal form.","Seleziona la forma giuridica della tua azienda."
"Customweb_SaferpayCw::Select your date of birth.","Inserisci la data di nascita"
"Customweb_SaferpayCw::Select your gender.","Seleziona il genere"
"Customweb_SaferpayCw::Sellxed On Hold","Sellxed In attesa"
"Customweb_SaferpayCw::Send Invoice Email","Invia la fattura per email"
"Customweb_SaferpayCw::Send amounts to Saferpay in base currency.","Invia l'importo a Saferpay  in base alla valuta."
"Customweb_SaferpayCw::Send amounts to Saferpay in store's base currency.","Invia importo a Saferpay  nella valuta base del negozio."
"Customweb_SaferpayCw::Send invoice email","Invia la fattura via email"
"Customweb_SaferpayCw::Send the invoice email automatically after invoice creation.","Invia la fattura automaticamente via email dopo averla creata."
"Customweb_SaferpayCw::Server responded '!response'","Server ha risposto '!response'"
"Customweb_SaferpayCw::Server responded with unexpected headers '!response'","Server ha risposto con intestazioni inaspettate '!response'"
"Customweb_SaferpayCw::Session timed out, please try again.","Sessione scaduta, prova ancora."
"Customweb_SaferpayCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Per la 'Contabilizzazione diretta' l'importo viene contabilizzato direttamente dopo il pagamento completato. Per la 'Contabilizzazione ritardata' l'importo viene addebitato solo dopo un periodo di tempo definito da voi."
"Customweb_SaferpayCw::Set the sort order to show the external checkouts.","Impostare il criterio di ordine per visualizzare i checkout esterni."
"Customweb_SaferpayCw::Settlement after order","Creazione dopo l'ordine"
"Customweb_SaferpayCw::Shipping & Handling","Shipping & Handling"
"Customweb_SaferpayCw::Shipping Address","Shipping Address"
"Customweb_SaferpayCw::Shipping Amount","Importo di spedizione"
"Customweb_SaferpayCw::Shipping Information","Informazioni di spedizione"
"Customweb_SaferpayCw::Shipping Method","Metodo di spedizione"
"Customweb_SaferpayCw::Shipping Methods","Metodi di spedizione"
"Customweb_SaferpayCw::Shipping Refund","Rimborso della spedizione"
"Customweb_SaferpayCw::Shipping address of this transaction and initial alias transaction do not match.","L'indirizzo di spedizione di questa transazione e l'alias iniziale della transazione non corrispondono."
"Customweb_SaferpayCw::Shop","Shop"
"Customweb_SaferpayCw::Should Saferpay display a field requesting the card holder name on their page?","Dovrebbe Saferpay visualizzare un campo che richiede il nome del titolare della carta sulla sua pagina?"
"Customweb_SaferpayCw::Should Saferpay send a confirmation email to the customer. (Available only if the customer is redirected to Saferpay.)","Dovrebbe Saferpay inviare una e-mail di conferma al cliente. (Disponibile solo se il cliente viene reindirizzato a Saferpay.)"
"Customweb_SaferpayCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Qualora l'importo venga addebitato automaticamente dopo l'ordine (diretta) o solo bloccato (ritardato)?"
"Customweb_SaferpayCw::Should the billing address be sent to Saferpay?","L'indirizzo di fatturazione deve essere inviato a Saferpay?"
"Customweb_SaferpayCw::Should the customer address be sent to Saferpay?","Decidi se inviare l'indirizzo di fatturazione inviato a Saferpay."
"Customweb_SaferpayCw::Show","Mostra"
"Customweb_SaferpayCw::Show Account Selection","Mostra la selezione dell'account"
"Customweb_SaferpayCw::Show Further Settings and Information","Mostra ulteriori impostazioni e informazioni"
"Customweb_SaferpayCw::Show Image","Mostra immagine"
"Customweb_SaferpayCw::Show Payment Id","Mostra il Payment Id"
"Customweb_SaferpayCw::Show the payment id","Mostra il payment ID"
"Customweb_SaferpayCw::Show the payment id in the order information","Mostra il payment ID nell'informazione dell'ordine"
"Customweb_SaferpayCw::Show the payment image","Mostra l'immagine di pagamento"
"Customweb_SaferpayCw::Show the payment image on the checkout page","Mostra l'immagine di pagamento nella pagina di checkout"
"Customweb_SaferpayCw::Sign In","Log in"
"Customweb_SaferpayCw::Six","Six"
"Customweb_SaferpayCw::Social Security Number","Social Security Number"
"Customweb_SaferpayCw::Sort Order","Sort Order"
"Customweb_SaferpayCw::Status","Stato"
"Customweb_SaferpayCw::Store the payment details","Salvare i dati di pagamento"
"Customweb_SaferpayCw::Stored payment details","Dettagli di pagamento memorizzate"
"Customweb_SaferpayCw::Submit Order","Conferma l'ordine"
"Customweb_SaferpayCw::Submitting order information...","Invio informazioni sull'ordine ..."
"Customweb_SaferpayCw::Subtotal","Totale parziale"
"Customweb_SaferpayCw::Success","Successo"
"Customweb_SaferpayCw::Successful","Successo"
