"Customweb_SaferpayCw::* Required Fields","* Champs requis"
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Si l'état est 'En attente', il est difficile de savoir si la transaction sera capturé avec succès."
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Si l'état est 'En attente', il est difficile de savoir si l'opération sera remboursé avec succès."
"Customweb_SaferpayCw::If the test mode is selected the test account id (99867-94913159) is used. Otherwise the configured account id is used.","Si le mode test est activé le compte de test (99867-94913159) sera utilisée. Sinon le compte configuré sera utilisé."
"Customweb_SaferpayCw::If the test mode is selected the test account id is used. Otherwise the configured live account id is used.","Si le mode test est sélectionné, l'ID du compte test sera utilisé . Dans le cas contraire, l'ID du compte Live sera utilisé."
"Customweb_SaferpayCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","Si le mode de test est sélectionné, le compte test sera utilisé. Sinon, le compte configuré sera utilisé."
"Customweb_SaferpayCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Si vous avez des problèmes avec le module, n'hésitez pas à nous contacter. Consultez notre <a href='https://www.sellxed.com/en/support' target='_blank'>page d'assistance</a> pour plus d'informations."
"Customweb_SaferpayCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Si vous souhaitez utiliser les paiements récurrents, vous avez besoin de notre module de Magento 'Customweb Subscription'. Pour plus d'informations, veuillez aller sur <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_SaferpayCw::Image Brand Selection","Image Brand Selection"
"Customweb_SaferpayCw::In case hidden authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands.","En cas si 'hidden authorization' est utilisé, la marque de la carte de crédit sera détectée par le numéro de la carte et le numéro de la carte sera validée en conséquence. Ce paramètre permet la restriction des marques autorisées."
"Customweb_SaferpayCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Dans certains cas, il peut prendre quelques secondes jusqu'à ce que la transaction soit autorisée avec succès. Lorsque cette option est activée, la boutique attendra la notification quelques secondes."
"Customweb_SaferpayCw::In some cases the customer switch the payment method or select a more specific one. This label shows the effective one.","Dans certains cas, le client change le mode de paiement ou sélectionne un autre mode de paiement pus spécifique. Cette étiquette indique la méthode de paiement efficace."
"Customweb_SaferpayCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Dans certains cas, l'opération nécessite quelques secondes jusqu'à ce qu'elle est autorisée avec succès. Lorsque cette option est activée l'utilisateur est en attente jusqu'à ce que celle-ci atteigne l'état final. Si ce n'est pas le cas en 30 secondes, un message s'affiche pour le client, qui explique la situation."
"Customweb_SaferpayCw::Inactive","Inactif"
"Customweb_SaferpayCw::Incl. Tax","Incl. TVA"
"Customweb_SaferpayCw::Inform customer by Saferpay","Informer le client via Saferpay"
"Customweb_SaferpayCw::Inform the customer","Informer le client"
"Customweb_SaferpayCw::Information","Information"
"Customweb_SaferpayCw::Internal error at ____paymentServiceProvider____.","Erreur interne chez ____paymentServiceProvider____."
"Customweb_SaferpayCw::Invalid Currency.","Devise invalide."
"Customweb_SaferpayCw::Invalid Token.","Token invalide."
"Customweb_SaferpayCw::Invalid amount.","Montant invalide."
"Customweb_SaferpayCw::Invalid credit card data: Please check your credit card data.","Données de carte de crédit valide: Veuillez vérifier vos données de carte de crédit."
"Customweb_SaferpayCw::Invalid credit card data: The expiration date has to be in the future.","Données de carte de crédit invalides: La date d'expiration doit être dans l'avenir."
"Customweb_SaferpayCw::Invalid credit card data: The given card number is not valid.","Le numéro de carte n'est pas valide."
"Customweb_SaferpayCw::Invalid login or password.","Nom d'utilisateur inexistant ou mauvais mot de passe."
"Customweb_SaferpayCw::Invalid payment means.","Moyen de paiement invalide."
"Customweb_SaferpayCw::Invoice Items","Eléments de la facture"
"Customweb_SaferpayCw::Invoice Settlement","Le règlement des factures"
"Customweb_SaferpayCw::Invoice Totals","Totaux facture"
"Customweb_SaferpayCw::Invoice settlement","Génération de la facture"
"Customweb_SaferpayCw::Invoice was created successfully","La facture a été créée avec succès"
"Customweb_SaferpayCw::Invoices","Factures"
"Customweb_SaferpayCw::Issue Number","Numéro"
"Customweb_SaferpayCw::It is not possible to checkout in your country.","Paiements de ce pays ne seront pas acceptés."
"Customweb_SaferpayCw::Item","Article"
"Customweb_SaferpayCw::Items","Articles"
"Customweb_SaferpayCw::Items Refunded","Articles Remboursé"
"Customweb_SaferpayCw::JCB","JCB"
"Customweb_SaferpayCw::LLC","LLC"
"Customweb_SaferpayCw::Laser Card","Laser"
"Customweb_SaferpayCw::Learn More","Découvrir plus"
"Customweb_SaferpayCw::Legal form","Forme juridique"
"Customweb_SaferpayCw::Legalform","Forme juridique"
"Customweb_SaferpayCw::Liability Shift Behavior","Comportement du transfert de responsabilité"
"Customweb_SaferpayCw::Live API password","Mot de passe API Live"
"Customweb_SaferpayCw::Live Customer ID","Customer ID Live"
"Customweb_SaferpayCw::Live HMAC Key","Live HMAC Key"
"Customweb_SaferpayCw::Live Identifier (PBX_IDENTIFIANT)","Live identifiant (PBX_IDENTIFIANT)"
"Customweb_SaferpayCw::Live JSON API password","Mot de passe JSON API  Live"
"Customweb_SaferpayCw::Live JSON Username","Nom d'utilisateur JSON Live"
"Customweb_SaferpayCw::Live MoTo Terminal ID","Live MoTo Terminal ID"
"Customweb_SaferpayCw::Live Mode","Live Mode"
"Customweb_SaferpayCw::Live Password","Mot de passe live"
"Customweb_SaferpayCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_SaferpayCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_SaferpayCw::Live Terminal ID","Live Terminal ID"
"Customweb_SaferpayCw::Live account ID","Account ID live"
"Customweb_SaferpayCw::Logging","Logging"
"Customweb_SaferpayCw::Login","Login"
"Customweb_SaferpayCw::Login & Register","Login & Inscription"
"Customweb_SaferpayCw::Login and password are required.","Login et mot de passe sont requis."
"Customweb_SaferpayCw::Ltd.","Ltd"
"Customweb_SaferpayCw::Maestro","Maestro"
"Customweb_SaferpayCw::Mail Order / Telephone Order (MoTo)","Ordre par e-mail/téléphone (MoTo)"
"Customweb_SaferpayCw::Mail order/telephone order authorization","Authentification par e-mail / téléphone"
"Customweb_SaferpayCw::Male","Mâle"
"Customweb_SaferpayCw::Manage Stores","Gérer Magasins"
"Customweb_SaferpayCw::Manage Saferpay Aliases","Gérer les Alias Saferpay"
"Customweb_SaferpayCw::Mandate text","Texte de mandat"
"Customweb_SaferpayCw::Mandatory","Obligatoire"
"Customweb_SaferpayCw::Mark transactions without liability shift as uncertain","Marquer les transactions sans transfert de responsabilité incertaines"
"Customweb_SaferpayCw::MasterCard","MasterCard"
"Customweb_SaferpayCw::MasterPass","MasterPass"
"Customweb_SaferpayCw::MasterPass: Order Confirmation","MasterPass: Confirmation de la commande"
"Customweb_SaferpayCw::Mastercard","MasterCard"
"Customweb_SaferpayCw::Maximum Order Total","Montant de commande maximal"
"Customweb_SaferpayCw::Merchant IBAN (Mandate)","IBAN du marchand (mandat)"
"Customweb_SaferpayCw::Merchant Name (Mandate)","Nom de marchand (mandat)"
"Customweb_SaferpayCw::Merchant email","Courriel du commerçant"
"Customweb_SaferpayCw::Message","Message"
"Customweb_SaferpayCw::Method Title","Titre de la méthode"
"Customweb_SaferpayCw::Minimum Order Total","Montant de commande minimal"
"Customweb_SaferpayCw::Minimum order price !price","Minimum order price !price"
"Customweb_SaferpayCw::Missing permissions for this action.","Permissions manquantes pour cette action."
"Customweb_SaferpayCw::Month","Mois"
"Customweb_SaferpayCw::My Saferpay Aliases","Mes Alias Saferpay"
"Customweb_SaferpayCw::New Order","Nouvelle commande"
"Customweb_SaferpayCw::New Order Status","Nouvel statut de commande"
"Customweb_SaferpayCw::New card","Nouvelle carte"
"Customweb_SaferpayCw::Next Update Execution Date","Prochaine mise à jour"
"Customweb_SaferpayCw::No","Non"
"Customweb_SaferpayCw::No CVC provided.","Le code CVC n'a pas été fourni."
"Customweb_SaferpayCw::No IBAN provided.","L'IBAN n'a pas été fourni."
"Customweb_SaferpayCw::No Items","Pas d'objet"
"Customweb_SaferpayCw::No additional payment information available.","Aucune information de paiement supplémentaire est disponible."
"Customweb_SaferpayCw::No address is sent","Ne pas envoyer l'adresse"
"Customweb_SaferpayCw::No authorization method found for payment method !method.","Aucun mode d'autorisation trouvé pour le mode de paiement !method."
"Customweb_SaferpayCw::No billing address was returned.","Aucune adresse de facturation n'a été renseignée."
"Customweb_SaferpayCw::No button returned.","Pas de bouton retourné."
"Customweb_SaferpayCw::No date of birth provided.","Aucune date de naissance renseignée."
"Customweb_SaferpayCw::No delivery address was returned.","Aucune adresse de livraison renseignée."
"Customweb_SaferpayCw::No gender provided.","Le champ sexe doit être renseigné."
"Customweb_SaferpayCw::No legal form provided.","Aucune forme juridique n'est renseignée."
"Customweb_SaferpayCw::No method wrapper found for payment method '!method'.","Aucune méthode wrapper trouvé pour le mode de paiement '!method'."
"Customweb_SaferpayCw::No redirect url or token received.","Aucun URL de redirection ou token reçu."
"Customweb_SaferpayCw::No refund possible.","Remboursement n'est pas possible"
"Customweb_SaferpayCw::No shipping method needed.","Aucun mode de livraison nécessaire."
"Customweb_SaferpayCw::No theme","Aucun thème"
"Customweb_SaferpayCw::No, use the dropdown.","Utiliser le menu déroulant"
"Customweb_SaferpayCw::None","Aucun"
"Customweb_SaferpayCw::Normal mode","Mode normal"
"Customweb_SaferpayCw::Not an alias transaction","Ceci n'est pas une transaction via alias"
"Customweb_SaferpayCw::Not supported","Non supporté"
"Customweb_SaferpayCw::Only an authorized transaction can be marked as finally declined.","Seulement une transaction autorisée peut être marquée comme finalement déclinée."
"Customweb_SaferpayCw::Only an uncertain transaction can be marked as finally declined.","Seulement une transaction incertaine peut être marquée comme déclinée."
"Customweb_SaferpayCw::Only authorized transaction can be cancelled.","Seulement les transactions autorisées peuvent être annulées."
"Customweb_SaferpayCw::Only authorized transaction can be captured.","Seulement les transactions autorisées peuvent être comptabilisées."
"Customweb_SaferpayCw::Only authorized transaction can be refunded.","Seulement les transactions autorisées peuvent être remboursées"
"Customweb_SaferpayCw::Only captured transaction can be refunded.","Seulement les transaction comptabilisées peuvent être remboursées."
"Customweb_SaferpayCw::Only delivery address is sent","Seule l'adresse de livraison est envoyée"
"Customweb_SaferpayCw::Only on captured transaction the flag customer refusing to pay can be set.","Il est seulement possible de définir un indicateur pour les clients qui n'ont pas payé sur les transactions capturées."
"Customweb_SaferpayCw::Operation Mode","Mode de fonctionnement"
"Customweb_SaferpayCw::Order #","Numéro de commande"
"Customweb_SaferpayCw::Order Grand Total","Total de l'ordre"
"Customweb_SaferpayCw::Order Information","Informations sur la commande"
"Customweb_SaferpayCw::Order Prefix","Préfixe pour la commande"
"Customweb_SaferpayCw::Order Review","Revue de la commande"
"Customweb_SaferpayCw::Order Summary","Résumé de la commande"
"Customweb_SaferpayCw::Order Total","Total de la commande"
"Customweb_SaferpayCw::Order cancelled, because the customer was too long in the payment process of Saferpay.","la commande a été annulée, parce que le client était trop long dans le processus de paiement de Saferpay"
"Customweb_SaferpayCw::Order prefix","Order prefix"
"Customweb_SaferpayCw::Order was placed using %s","Commande a été passée à l'aide de %s"
"Customweb_SaferpayCw::Orders","Commandes"
"Customweb_SaferpayCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Les commandes où les paiements sont suspendu plus longtemps que le timeout spécifié en minutes seront anullées automatiquement."
"Customweb_SaferpayCw::Other","Autre"
"Customweb_SaferpayCw::Paid Amount","Montant payé"
"Customweb_SaferpayCw::Partial refund not possible. You may retry with the total transaction amount.","Remboursement partiel n'est pas possible. Le montant est supérieur au montant total."
"Customweb_SaferpayCw::Password","Mot de passe"
"Customweb_SaferpayCw::Password and password confirmation are not equal.","Mot de passe et confirmation du mot de passe ne sont pas pareils."
"Customweb_SaferpayCw::Pay with ____paymentMethodName____","Payer avec ____paymentMethodName____"
"Customweb_SaferpayCw::Payment","Paiement"
"Customweb_SaferpayCw::Payment Details","Informations de paiement"
"Customweb_SaferpayCw::Payment ID","ID de paiement"
"Customweb_SaferpayCw::Payment Id","Payment ID"
"Customweb_SaferpayCw::Payment Information","Conditions de vente"
"Customweb_SaferpayCw::Payment Method","Mode de paiement"
"Customweb_SaferpayCw::Payment Method Name","Nom de la méthode de paiement"
"Customweb_SaferpayCw::Payment Note","Objet du paiement"
"Customweb_SaferpayCw::Payment Page CSS URL","Payment Page CSS URL"
"Customweb_SaferpayCw::Payment Page Configuration Name","Nom de configuration de la page de paiement"
"Customweb_SaferpayCw::Payment Page Theme","Thème de la page de paiement"
"Customweb_SaferpayCw::Payment Reason","Motif du paiement"
"Customweb_SaferpayCw::Payment captured successfully.","Paiement a réussi à capturer."
"Customweb_SaferpayCw::Payment could not be authorized. Cancelling order. Reason : ","Le paiement ne peut être autorisée. Commande annulée. Raison:"
"Customweb_SaferpayCw::Payment details can be entered after placing the order","Détails de paiement peuvent être insérés après avoir placé la commande"
"Customweb_SaferpayCw::Payment from Applicable Countries","Paiement des pays applicables"
"Customweb_SaferpayCw::Payment from Specific Countries","Paiement des pays spécifiques"
"Customweb_SaferpayCw::Payment from applicable countries","Paiement des pays applicables"
"Customweb_SaferpayCw::Payment from specific countries","Paiement des pays spécifiques"
"Customweb_SaferpayCw::Payment is pending at SaferpayCw","Payment en attente chez SaferpayCw"
"Customweb_SaferpayCw::Payment method description","Déscription du mode de paiement"
"Customweb_SaferpayCw::Payment method not available.","Méthode de paiement non disponible."
"Customweb_SaferpayCw::Payment note","Payment note"
"Customweb_SaferpayCw::Payment period extension","Prolongation de la période de paiement"
"Customweb_SaferpayCw::Payment with %s","Paiement avec %s"
"Customweb_SaferpayCw::Payment with Saferpay","Paiement avec  Saferpay"
"Customweb_SaferpayCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Les paiements peuvent être actualisés automatiquement (interval en minutes) via API (si activé). Pour utiliser ce fonctionnement il faut configurer un cron pour Magento."
"Customweb_SaferpayCw::Pending","En attente"
"Customweb_SaferpayCw::Pending SaferpayCw","SaferpayCw En attente"
"Customweb_SaferpayCw::Place Order","Soumettre la commande"
"Customweb_SaferpayCw::Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales avant de passer la commande."
"Customweb_SaferpayCw::Please check the entered CVC number.","Veuillez vérifier le numéro CVC entré."
"Customweb_SaferpayCw::Please check the entered credit card number.","Veuillez vérifier le numéro de carte de crédit indiqué."
"Customweb_SaferpayCw::Please check your card details.","Veuillez s'il vous plaît vérifier les informations de votre carte."
"Customweb_SaferpayCw::Please check your payment details.","Veuillez s'il vous plaît vérifier vos informations de paiement."
"Customweb_SaferpayCw::Please choose the legal form of your company.","Veuillez choisir la forme juridique de votre entreprise."
"Customweb_SaferpayCw::Please choose your gender","Veuillez s'il vous plaît renseigner le champ sexe"
"Customweb_SaferpayCw::Please enter here the Bank Identifier Code (BIC).","Veuillez insérer ici le code d'identification de banque (BIC)."
"Customweb_SaferpayCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Insérez le code de sécurité de la carte. Vous le trouverez à l’arrière de la carte"
"Customweb_SaferpayCw::Please enter here the International Bank Account Number (IBAN).","Veuillez insérer l'IBAN de votre compte banquaire."
"Customweb_SaferpayCw::Please enter here the account holder name on the card.","Veuillez insérer ici le nom du titulaire de la carte."
"Customweb_SaferpayCw::Please enter here the account holder name.","Veuillez insérer ici le nom du titulaire du compte."
"Customweb_SaferpayCw::Please enter here the account number of your bank account.","Veuillez insérer l'IBAN de votre compte banquaire."
"Customweb_SaferpayCw::Please enter here the bank code of your bank.","Veuillez insérer le code de votre banque."
"Customweb_SaferpayCw::Please enter here the card holder name on the card.","Veuillez insérer le nom du titulaire de la carte"
"Customweb_SaferpayCw::Please enter here the commercial number of your company.","Il faut insérer le numéro de commerce de votre entreprise."
"Customweb_SaferpayCw::Please enter here the name of the account owner.","Vous devez insérer le titulaire de compte"
"Customweb_SaferpayCw::Please enter here the number on your card.","Veuillez insérer le numéro de carte bancaire."
"Customweb_SaferpayCw::Please enter here the sales tax number of your company.","Veuillez insérer ici le numéro de taxe de vente de votre entreprise."
"Customweb_SaferpayCw::Please enter here your social security number.","Veuillez insérer votre numéro de sécurité sociale."
"Customweb_SaferpayCw::Please enter the creditor identifier that you are able to receive from the Bundesbank (see http://www.bundesbank.de/Navigation/EN/Tasks/Payment_systems/SEPA/Creditor_Identifier/creditor_identifier.html)","Veuillez insérer l'identifiant du créancier que vous êtes capable de recevoir de la Bundesbank (plus d'informations: http://www.bundesbank.de/Navigation/EN/Tasks/Payment_systems/SEPA/Creditor_Identifier/creditor_identifier.html)"
"Customweb_SaferpayCw::Please enter the location of your bank.","Vous devez insérer le lieu de votre banque."
"Customweb_SaferpayCw::Please enter the name of your bank.","Veuillez insérer ici le nom de votre banque."
"Customweb_SaferpayCw::Please enter the name of your company if you order for your company.","Insérez le nom de la société si la commande est faite pour votre société."
"Customweb_SaferpayCw::Please enter your IBAN number.","Veuillez insérer votre numéro IBAN."
"Customweb_SaferpayCw::Please enter your issue number, if there is no CVC code on your card.","Veuillez insérer votre numéro, s'il n'y a pas de code CVC de votre carte."
"Customweb_SaferpayCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Veuillez vider ou désactiver votre cache et essayer à nouveau. Si cela n'aide pas à résoudre le problème, veuillez changer la méthode d'autorisation à Payment Page et <a href=""%s"" target=""_blank"">contactez le support sellxed</a>."
"Customweb_SaferpayCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Veuillez vider votre cache et essayer à nouveau. Si cela n'aide pas à résoudre le problème, changez la méthode d'autorisation à Payment Page et <a href=""%s"" target=""_blank"">contactez le support sellXed.</a>.', 'http://www.sellxed.com/en/support"
"Customweb_SaferpayCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Veuillez vider ou désactiver le cache et veuillez essayer à nouveau. Si cela n'aide pas à résoudre le problème, changez la méthode d'autorisation sur PaymentPage et contactez <a href=""%s"" target=""_blank"">sellxed</a>."
"Customweb_SaferpayCw::Please log in below:","Merci de vous identifier:"
"Customweb_SaferpayCw::Please note that your invoice is paid when the amount has successfully arrived the account named above.","Veuillez noter que votre facture est payée lorsque le montant est bien arrivé sur le compte indiqué ci-dessus."
"Customweb_SaferpayCw::Please read and confirm our terms and conditions!","Please read and confirm our terms and conditions!"
"Customweb_SaferpayCw::Please select","Sélectionner s'il vous plaît"
"Customweb_SaferpayCw::Please select a shipping method before sending the order.","Sélectionnez un mode de livraison avant d'envoyer la commande."
"Customweb_SaferpayCw::Please select the Bank Identifier Code (BIC) of your bank.","Veuillez sélectionner le code d'identification de votre banque. (BIC)"
"Customweb_SaferpayCw::Please select the day of your birth.","Veuillez sélectionner le jour de votre naissance."
"Customweb_SaferpayCw::Please select the day on which you were born.","Insérez le jour de votre date de naissance."
"Customweb_SaferpayCw::Please select the expiry month on your card.","Sélectionnez le mois de l'expiration de votre carte"
"Customweb_SaferpayCw::Please select the expiry year on your card.","Veuillez insérer la date d'expiration de la carte."
"Customweb_SaferpayCw::Please select the month in which you were born.","Insérez le mois de votre date de naissance."
"Customweb_SaferpayCw::Please select the month of your birth.","Veuillez sélectionner le mois de votre date de naissance."
"Customweb_SaferpayCw::Please select the the year of your birth.","Veuillez  sélectionner l'année de votre date de naissance."
"Customweb_SaferpayCw::Please select the year in which you were born.","Insérez l'année de votre naissance"
"Customweb_SaferpayCw::Please wait, processing your order...","Veuillez patienter, le traitement de votre commande..."
"Customweb_SaferpayCw::Possible fraud detected. Parameters send from SaferpayCw were not correct.","Fraude possible. Les paramètres envoyés par SaferpayCw n'étaient pas correctes."
"Customweb_SaferpayCw::Price","Prix"
"Customweb_SaferpayCw::Product","Produit"
"Customweb_SaferpayCw::Product Name","Nom du produit"
"Customweb_SaferpayCw::Purchase Point","Lieu d'achat"
"Customweb_SaferpayCw::Qty","Quantité"
"Customweb_SaferpayCw::Received malformed response.","Réponse malformée reçue."
"Customweb_SaferpayCw::Received unknown refund state: !state","Received unknown refund state: !state"
"Customweb_SaferpayCw::Received unknown transaction state: !state","Received unknown transaction state: !state"
"Customweb_SaferpayCw::Received unkown refund state: !state","Statut de remboursement reçu inconnu : !state"
"Customweb_SaferpayCw::Received unkown transaction state: !state","Statut de transaction reçu inconnu: !state"
"Customweb_SaferpayCw::Received wrong transaction type: !type","Type de transaction reçu erroné: !type"
"Customweb_SaferpayCw::Received wrong type: !type","Type reçu erroné: !type"
"Customweb_SaferpayCw::Recurring Payments","Paiements récurrents"
"Customweb_SaferpayCw::Reference: @reference","Référence: @reference"
"Customweb_SaferpayCw::Refund Amount","Montant du remboursement"
"Customweb_SaferpayCw::Refund ID","ID de remboursement"
"Customweb_SaferpayCw::Refund amount","Montant du remboursement"
"Customweb_SaferpayCw::Refund information","Information de remboursement"
"Customweb_SaferpayCw::Refund of !amount failed because no card reference id was provided. This most likely because you try to refund a transaction authorized over the payment page. (Code: !result).","Remboursement de !amount a échoué car aucune ID de référence de la carte a été fourni. Probablement parce que vous avez essayé de rembourser une transaction autorisée sur la page de paiement (Payment Page). (Code: !result)."
"Customweb_SaferpayCw::Refund of !amount failed with code: !result.","Remboursement de !amount a échoué avec le code: !result."
"Customweb_SaferpayCw::Refund status","Statut de remboursement"
"Customweb_SaferpayCw::Refunded Amount","Montant du remboursement"
"Customweb_SaferpayCw::Refunding Transaction '!transactionId'","Remboursement de la transaction '!transactionId'"
"Customweb_SaferpayCw::Refunds","Remboursements"
"Customweb_SaferpayCw::Register","Inscrivez-vous"
"Customweb_SaferpayCw::Register to Create an Account","S'inscrire pour créer un compte"
"Customweb_SaferpayCw::Register with us for future convenience:","Inscrivez-vous chez nous pour plus de commodité dans l'avenir:"
"Customweb_SaferpayCw::Release Date","Date de sortie"
"Customweb_SaferpayCw::Request Validation failed.","La validation de la requête a échoué."
"Customweb_SaferpayCw::Review","Review"
"Customweb_SaferpayCw::Rounding Adjustment","Ajustements d'arrondi"
"Customweb_SaferpayCw::Row Total","Total de la ligne"
"Customweb_SaferpayCw::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_SaferpayCw::SKU:","SKU:"
"Customweb_SaferpayCw::Saferpay Test Card","Saferpay Test Card"
"Customweb_SaferpayCw::Sales","Ventes"
"Customweb_SaferpayCw::Sales Tax Number","Numéro de taxe de vente"
"Customweb_SaferpayCw::Save","Sauvegarder"
"Customweb_SaferpayCw::Saved cards:","Cartes enregistrées:"
"Customweb_SaferpayCw::See order and shipping status","Voir le statut de la commande et le statut de livraison"
"Customweb_SaferpayCw::Select Brand","Sélectionnez le type de la carte"
"Customweb_SaferpayCw::Select Method","Sélectionner la méthode"
"Customweb_SaferpayCw::Select the authorization method to use for processing this payment method.","Sélectionnez un mode d'autorisation pour le traitement de ce mode de paiement."
"Customweb_SaferpayCw::Select the date of your birth.","Veuillez sélectionner votre date de naissance."
"Customweb_SaferpayCw::Select the date on which your card expires.","Séléctionnez la date d'expiration de la carte."
"Customweb_SaferpayCw::Select your companys legal form.","Sélectionnez la forme juridique de votre entreprise."
"Customweb_SaferpayCw::Select your date of birth.","Veuillez sélectionner votre date de naissance."
"Customweb_SaferpayCw::Select your gender.","Veuillez sélectionner votre sexe"
"Customweb_SaferpayCw::Sellxed On Hold","Sellxed En attente"
"Customweb_SaferpayCw::Send Invoice Email","Envoyer un e-mail avec la facture"
"Customweb_SaferpayCw::Send amounts to Saferpay in base currency.","Envoyer des montants à  Saferpay dans la devise de base."
"Customweb_SaferpayCw::Send amounts to Saferpay in store's base currency.","Envoyer les montants à Saferpay dans la devise de base de la boutique."
"Customweb_SaferpayCw::Send invoice email","Envoyer la facture"
"Customweb_SaferpayCw::Send the invoice email automatically after invoice creation.","Envoyer l'email de facture automatiquement après la création de la facture."
"Customweb_SaferpayCw::Server responded '!response'","Serveur a répondu '!response'"
"Customweb_SaferpayCw::Server responded with unexpected headers '!response'","Serveur a répondu avec des en-têtes inattendues '!response'"
"Customweb_SaferpayCw::Session timed out, please try again.","La session a expiré, veuillez s'il vous plaît essayer à nouveau."
"Customweb_SaferpayCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Si vous séléctionnez 'Comptabilisation dirècte' le montant sera tout de suite débité de la carte du client. Si vous séléctionnez 'Comptabilisation retardée' le montant sera débité avec un certain temps défini par vous."
"Customweb_SaferpayCw::Set the sort order to show the external checkouts.","Définir l'ordre de montrer les checkouts externes."
"Customweb_SaferpayCw::Settlement after order","Génération après la commande"
"Customweb_SaferpayCw::Shipping & Handling","Livraison"
"Customweb_SaferpayCw::Shipping Address","Adresse de livraison"
"Customweb_SaferpayCw::Shipping Amount","Montant des frais de livraison"
"Customweb_SaferpayCw::Shipping Information","Informations sur la livraison"
"Customweb_SaferpayCw::Shipping Method","Mode de livraison"
"Customweb_SaferpayCw::Shipping Methods","Modes de livraison"
"Customweb_SaferpayCw::Shipping Refund","Remboursement des frais de livraison"
"Customweb_SaferpayCw::Shipping address of this transaction and initial alias transaction do not match.","L'adresse de livraison de cette transaction et l'alias de transaction initial ne correspondent pas."
"Customweb_SaferpayCw::Shop","Shop"
"Customweb_SaferpayCw::Should Saferpay display a field requesting the card holder name on their page?","Est-ce que Saferpay devrait afficher un champ demandant le nom du détenteur de la carte sur sa page?"
"Customweb_SaferpayCw::Should Saferpay send a confirmation email to the customer. (Available only if the customer is redirected to Saferpay.)","Un email de confirmation doit-il être envoyé au client par Saferpay?"
"Customweb_SaferpayCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Est-ce que le montant doit être comptabilisé automatiquement après la commande (direct) ou est-ce que le montant doit seulement être réservé (différé)?"
"Customweb_SaferpayCw::Should the billing address be sent to Saferpay?","L'adresse de facturation doit-elle être envoyée à Saferpay?"
"Customweb_SaferpayCw::Should the customer address be sent to Saferpay?","Est-ce que vous voulez que l'adresse du client est envoyé à Saferpay?"
"Customweb_SaferpayCw::Show","Voir"
"Customweb_SaferpayCw::Show Account Selection","Voir la sélection de compte"
"Customweb_SaferpayCw::Show Further Settings and Information","Afficher plus de paramètres et d'informations"
"Customweb_SaferpayCw::Show Image","Afficher Image"
"Customweb_SaferpayCw::Show Payment Id","Afficher Payment ID"
"Customweb_SaferpayCw::Show the payment id","Présenter l'ID de paiement"
"Customweb_SaferpayCw::Show the payment id in the order information","Afficher l'ID de paiement dans le bon de commande"
"Customweb_SaferpayCw::Show the payment image","Montrer l'image de paiement"
"Customweb_SaferpayCw::Show the payment image on the checkout page","Montrer l'image de paiement sur la page de paiement"
"Customweb_SaferpayCw::Sign In","Connexion"
"Customweb_SaferpayCw::Six","Six"
"Customweb_SaferpayCw::Social Security Number","Numéro de sécurité sociale"
"Customweb_SaferpayCw::Sort Order","Ordre De Tri"
"Customweb_SaferpayCw::Status","Statut"
"Customweb_SaferpayCw::Store the payment details","Enregistrer les détails de paiement"
"Customweb_SaferpayCw::Stored payment details","Détails de paiement enregistrées"
"Customweb_SaferpayCw::Submit Order","Confirmer la commande"
"Customweb_SaferpayCw::Submitting order information...","Soumission des données de la commande..."
"Customweb_SaferpayCw::Subtotal","Sous-total"
"Customweb_SaferpayCw::Success","Succès"
